,yebR
Cr_1,-0.006466468034723129
Cr_2,-0.00112509702818624
Cr_3,0.010815500879813698
Cr_4,0.02258278191504246
Cr_5,0.024952809016118557
Cr_6,0.026886122761319967
Fe_1,-0.01808126894565592
Fe_2,-0.038715223987603735
Fe_3,-0.05758707818248208
Fe_4,-0.06459934883451303
Fe_5,-0.06072319219006416
Fe_6,-0.0524648960687634
Cd_1,0.009400589026063104
Cd_2,0.01497625339408931
Cd_3,0.022754846766777508
Cd_4,0.02764418201362348
Cd_5,0.04240976437149913
Cd_6,0.05683711502835149
Zn_1,-0.0008812440242752705
Zn_2,0.0016607179227276251
Zn_3,0.01862891153528692
Zn_4,0.04158393913329205
Zn_5,0.0782013141992095
Zn_6,0.10503306605143334
Cu_1,0.015012919030396669
Cu_2,0.024800178610397357
Cu_3,0.03583938250260918
Cu_4,0.04799900897042831
Cu_5,0.058114575338897766
Cu_6,0.07418961297072207
Pb_1,0.007518472512343527
Pb_2,0.01947935545540459
Pb_3,0.03713861158647412
Pb_4,0.053572549050515936
Pb_5,0.06685322244237596
Pb_6,0.07913065602280331
