,tktB
Cr_1,0.0007265401194618009
Cr_2,0.005550406619648504
Cr_3,0.00918211635287166
Cr_4,0.015030124612056262
Cr_5,0.018965113454761557
Cr_6,0.0192351863149218
Fe_1,-0.027325638123587348
Fe_2,-0.05553891833913313
Fe_3,-0.09343702908687293
Fe_4,-0.13672403061610444
Fe_5,-0.150592969466688
Fe_6,-0.15823453579884966
Cd_1,0.0012300642479007892
Cd_2,0.006116403895997393
Cd_3,0.012597585653211944
Cd_4,0.017777647819454886
Cd_5,0.013524341009910387
Cd_6,0.019105468508979512
Zn_1,-0.02019528164810016
Zn_2,-0.01768771483871542
Zn_3,-0.02572995338075882
Zn_4,-0.031080085697801
Zn_5,-0.01634062425476229
Zn_6,0.029724285515982506
Cu_1,0.0008665552050956452
Cu_2,-0.003407215357858328
Cu_3,-0.004966670500070899
Cu_4,-0.006190973232089702
Cu_5,-0.016635126647341562
Cu_6,-0.018402291255037586
Pb_1,0.0036497126593496546
Pb_2,-0.005752532920597153
Pb_3,-0.006627057878990547
Pb_4,-0.0048949001415722285
Pb_5,0.005418739743971932
Pb_6,0.017101203878719683
