,yneI
Cr_1,0.008063220107945905
Cr_2,0.02005699394252197
Cr_3,0.02330778057852668
Cr_4,0.026501408368491845
Cr_5,0.029264750976098437
Cr_6,0.03838156961397119
Fe_1,-0.013515943115704976
Fe_2,-0.047892093044314216
Fe_3,-0.098111516088528
Fe_4,-0.1633549872275839
Fe_5,-0.2281875375661361
Fe_6,-0.2878696742321487
Cd_1,0.00103815818128414
Cd_2,0.005038710696694131
Cd_3,0.004270201397439133
Cd_4,0.005806494218490011
Cd_5,-0.00024519767567025044
Cd_6,-0.004385441766669071
Zn_1,-0.0024867795506986496
Zn_2,-0.005758182945904474
Zn_3,0.007667553694816032
Zn_4,0.03184169842369334
Zn_5,0.06293500164285515
Zn_6,0.08593193558526856
Cu_1,0.014712627703641222
Cu_2,0.02745987092885069
Cu_3,0.03469557624026108
Cu_4,0.0477431731097752
Cu_5,0.060077637141993774
Cu_6,0.08316243072155816
Pb_1,0.006067613722091187
Pb_2,0.00981972684267144
Pb_3,0.016549405029254692
Pb_4,0.016826608253692046
Pb_5,0.02293589432804161
Pb_6,0.03162968678258613
