,ubiX
Cr_1,0.007825228133872764
Cr_2,0.012841045226845312
Cr_3,0.02011940856275739
Cr_4,0.027079572515902726
Cr_5,0.0337603930798071
Cr_6,0.03571584107866719
Fe_1,-0.009322069636402985
Fe_2,-0.0009895082019401801
Fe_3,0.02593447576380486
Fe_4,0.05494642191442136
Fe_5,0.09739095857380993
Fe_6,0.13465147483420906
Cd_1,0.0034552456783761925
Cd_2,0.010271157555637784
Cd_3,0.014570506643494702
Cd_4,0.02194349354189818
Cd_5,0.021785405837132104
Cd_6,0.02220254153424125
Zn_1,-0.003906036532071104
Zn_2,0.0030843501092373267
Zn_3,0.014417991075834429
Zn_4,0.036799819914203134
Zn_5,0.053477424741297235
Zn_6,0.07060830500557715
Cu_1,0.004482684758261562
Cu_2,0.0051226402853804635
Cu_3,0.013207529589100256
Cu_4,0.019830476753055826
Cu_5,0.029934286183630508
Cu_6,0.03992122000963084
Pb_1,0.014164894084575972
Pb_2,0.027572951242368752
Pb_3,0.046616995486029884
Pb_4,0.06822599602920834
Pb_5,0.09196678385767043
Pb_6,0.0924740126291285
