,A,PurR
R2,,0.28570475797611117
xmin,,-8.216346238
xmid,,-5.11396053275123
xmax,,3.4450354554000002
ystart,,-15.167714299686084
yend,,6.8731372077759385
aat__00m_00s__1,-0.0698436899,0.0503800698
aat__00m_30s__1,0.6166347009,-0.1332543878
aat__01m_00s__1,0.8378765637000001,0.0014101016
aat__02m_00s__1,0.7990349789000001,-0.31710006900000004
aat__05m_00s__1,-0.2894138533,-0.1236172609
aat__10m_00s__1,2.2854241392,-0.14434727760000002
aat__00m_00s__2,-0.17077448350000002,-0.09620490450000001
aat__00m_30s__2,-0.4942808581,0.307580633
aat__01m_00s__2,0.7886823854,0.0299441572
aat__02m_00s__2,0.3709290637,-0.047903106
aat__05m_00s__2,-0.6210221644,-0.0525267936
aat__10m_00s__2,-1.3546135972,0.1386270393
aat__00m_00s__3,0.2406181734,0.0458248346
aat__00m_30s__3,0.0839447048,0.036710582400000004
aat__01m_00s__3,1.1610041767000001,-0.1347482753
aat__02m_00s__3,0.4875594441,-0.3814392776
aat__05m_00s__3,-1.0422462209,-0.1729125155
aat__10m_00s__3,-2.0037191883,0.0328515393
abx_mega__dmso-2__1,2.3137600235,-0.6308545497
abx_mega__ery_dmso__1,-1.9324207710999999,0.9642391604
abx_mega__nal_naoh__1,0.5449587260000001,-0.8345776685
abx_mega__dmso-5__1,0.9387680166000001,-0.2068950134
abx_mega__rif_dmso__1,1.6404381085000002,-0.6537740621
abx_mega__novo_h2o__1,-4.0643068268,-3.1097509295
abx_mega__rach_dmso__1,2.7481646975,0.3344845464
abx_mega__metro_dmso__1,-0.0396331558,-0.0095377874
abx_mega__dmso-6__1,2.2076330902,-0.885687412
abx_mega__chl_h2o__1,-1.9305869371000002,1.2463405374
abx_mega__cst_h2o__1,1.3077458231,-0.48759685680000003
abx_mega__tec_h2o__1,1.8402885622,0.1322098291
abx_mega__str_h2o__1,-1.4423802967000001,0.7614907853
abx_mega__ctx_h2o__1,1.4513688734,-0.1629441797
abx_mega__nal_naoh__2,6.580868797,-0.654276249
abx_mega__phos_h2o__1,-0.8801844308000001,-0.22661067740000002
abx_mega__dmso-5__2,1.4488329562,-0.48338569680000004
abx_mega__polmyx_h2o__1,0.8327137145,0.46313978380000004
abx_mega__h2o-8b__1,0.4941701712,-0.7300334133
abx_mega__h2o-6__1,6.8678189181,-0.17031202410000001
abx_mega__thio_dmso__1,-0.48768188830000003,0.8478450377000001
abx_mega__phos_h2o__2,1.034709576,-0.12258929730000001
abx_mega__ctx_h2o__2,1.5370769479000002,0.5567196176
abx_mega__lzd_dmso__1,-2.254052188,0.7572153494
abx_mega__naoh-9__1,0.7489167649,0.18353017430000002
abx_mega__dox_dmso__1,-0.1722165199,0.7504058657
abx_mega__phos_ethanol__1,0.4023388027,0.9262867545000001
abx_mega__teix_dmso__1,3.5040289546,-0.382191416
abx_mega__dmso-10__1,1.3617481086,0.1608268145
abx_mega__van_dmso__1,-2.339647783,-0.3797146656
abx_mega__ramo_h2o__1,0.6681593646,-0.2506380211
abx_mega__tec_h2o__2,0.7685249973,0.4590271107
abx_mega__h2o-7__1,0.3795765023,-0.2262112198
abx_mega__cro_h2o__1,2.3461821758,-0.1097901218
abx_mega__tric_ethanol__1,-0.0624632632,-1.597759788
abx_mega__nor_naoh__1,6.8656906377,-0.6973502906
abx_mega__teix_dmso__2,1.468497677,-0.3677205216
abx_mega__nal_naoh__3,6.7824214023,-0.4054208729
abx_mega__novo_h2o__2,-2.9691793420000003,-2.8663266717
abx_mega__dmso-10__2,1.2891079724,0.175079656
abx_mega__phos_h2o__3,8.125286023,-0.41796178040000004
abx_mega__dmso-6__2,3.4357025432,-0.7215461969
abx_mega__rfp_ethanol__1,0.1759232342,0.5792986026
abx_mega__dmso-5__3,0.49982964150000003,-0.3682340039
abx_mega__amyc-d_dmso__1,1.3993684044,0.5060178807
abx_mega__sxt_dmso__1,0.1108351055,-0.7928540342
abx_mega__dmso-1__1,0.5778051847,-0.0374945458
abx_mega__pen_h2o__1,1.7586127046,0.08753187230000001
abx_mega__dmso-10__3,1.0798674852,-0.0380562053
abx_mega__nal_naoh__4,0.34163233530000003,-0.1266266778
abx_mega__cip_naoh__1,1.1750430189,-0.1094064285
abx_mega__pen_h2o__2,1.1843408326,0.0246216029
abx_mega__ery_dmso__2,-2.2000819668,1.4042502818
abx_mega__dmso-2__2,1.5931211513,-0.323556242
abx_mega__van_dmso__2,-0.84768128,-0.2156636415
abx_mega__h2o-1b__1,0.6440692514,0.4266018848
abx_mega__ery_h2o__1,-0.6483980568000001,0.397011426
abx_mega__bacit_h2o__1,0.7583372638,0.0885600465
abx_mega__chl_h2o__2,-2.2825687891,1.0486614908
abx_mega__str_h2o__2,-1.3017711015,0.7220541446000001
abx_mega__rfp_ethanol__2,0.5807356035,0.4710066664
abx_mega__polmyx_h2o__2,0.9975495245,-0.39947614600000003
abx_mega__tric_h2o__1,-1.6551040825999999,-0.20159220090000002
abx_mega__cip_naoh__2,5.4007193811,-0.49902500650000003
abx_mega__novo_h2o__3,-2.8155268159,-3.0382148493
abx_mega__bacit_dmso__1,2.2955907510999998,-0.078141955
abx_mega__gen_h2o__1,-2.340830268,-0.4561840521
abx_mega__bacit_dmso__2,2.0107292755,-0.4656764259
abx_mega__chl_dmso__1,-3.772007943,-0.0617493015
abx_mega__bacit_h2o__2,1.5619254718,-0.2777328982
abx_mega__lvx_dmso__1,2.337219402,-0.2161491384
abx_mega__bacit_h2o__3,1.1229189851,0.2853828208
abx_mega__nor_naoh__2,8.2133696245,-0.7204470723
abx_mega__amyc-d_dmso__2,-0.3946386451,0.3120605394
abx_mega__polmyx_h2o__3,1.1933563249,0.0838209533
abx_mega__naoh-6__1,5.9198475209,-0.17583755750000002
abx_mega__cst_h2o__2,0.4922983447,0.39180368590000003
abx_mega__h2o-1b__2,0.025552319400000002,1.1808541229
abx_mega__rfp_h2o__1,0.8618537398,-0.09421475850000001
abx_mega__tet_h2o__1,-0.496051383,0.9088700137
abx_mega__flavo_dmso__1,2.3844882083,0.3244983893
abx_mega__zeocin_h2o__1,1.8834407347000002,0.040779265200000005
abx_mega__nor_naoh__3,2.9843702012,-0.4568023069
abx_mega__rach_dmso__2,2.8864108206,-0.8723131659000001
abx_mega__thio_dmso__2,1.1771695225,1.5415149753000001
abx_mega__amyc-d_dmso__3,1.3564624865,0.694648244
abx_mega__rif_dmso__2,3.4050308996,-0.2355910055
abx_mega__amyc-d_dmso__4,-1.0985051137,0.2865921401
abx_mega__teix_dmso__3,3.1347942542,0.053220324400000005
abx_mega__valin_dmso__1,2.9019142204,-0.0594892993
abx_mega__teix_dmso__4,1.2856726277,-0.44861213640000003
abx_mega__ethanol-10__1,2.1136656963,0.0632011614
abx_mega__inh_h2o__1,1.1832174405,0.0054117126
abx_mega__rif_dmso__3,2.0960373357,-0.2778612419
abx_mega__van_dmso__3,-1.3930622406,-0.1072948533
abx_mega__doxo_dmso__1,2.9966148924000002,-0.5953244901
abx_mega__tmp_dmso__1,4.7516807028,-0.3013399713
abx_mega__ethanol-10__2,2.2727883355,-0.3613285639
abx_mega__tmp_dmso__2,4.1180852124,-0.31774538410000003
abx_mega__amyc-d_dmso__5,1.9398357746000001,0.759585606
abx_mega__novo_h2o__4,-2.2619928273,-3.3819087662
abx_mega__cro_h2o__2,2.8795804978,0.2304044084
abx_mega__cro_h2o__3,2.4435882896,-0.0723128847
abx_mega__gen_h2o__2,-2.2239388737,-0.37488641570000003
abx_mega__phos_h2o__4,1.9539236102,-0.1764897655
abx_mega__metro_dmso__2,-0.4922673852,-0.2489935416
abx_mega__ery_h2o__2,-2.1303038654,-0.1138623044
abx_mega__sacet_h2o__1,-3.2931758182,-1.2005588674
abx_mega__nal_naoh__5,1.5777186373,-0.2209728319
abx_mega__bacit_h2o__4,-0.11521720690000001,-0.1394178517
abx_mega__cip_naoh__3,0.8498153914000001,-0.2745693699
abx_mega__ethanol-8__1,2.1963204959000002,-0.8205431642000001
abx_mega__h2o-8a__1,0.7472989398000001,0.0561201795
abx_mega__ery_h2o__3,0.8329184184,0.4469581059
abx_mega__flavo_dmso__2,2.4554365599,0.0829014497
abx_mega__rif_dmso__4,1.5088971392000001,-0.3679836502
abx_mega__novo_h2o__5,-3.3989865689,-3.1599446912
abx_mega__teix_dmso__5,1.6291544163,0.1526517892
abx_mega__naoh-2__1,1.0574059477,0.0082835212
abx_mega__novo_h2o__6,-2.2564098214,-2.7541232803
abx_mega__ctx_h2o__3,2.0714251308,0.3438281247
abx_mega__rach_dmso__3,3.6289244547,-0.7109627645000001
abx_mega__valin_dmso__2,2.445321396,0.2403336171
abx_mega__amyc-d_dmso__6,3.9810206643,0.628689947
abx_mega__dox_dmso__2,5.4456245683,-0.48830091870000003
abx_mega__teix_dmso__6,2.0113116333,0.1271805425
abx_mega__naoh-6__2,3.5398043237,-0.2012187537
abx_mega__inh_h2o__2,0.2605899732,-1.9844591682
abx_mega__chl_h2o__3,-2.548328197,2.0308395533
abx_mega__nal_naoh__6,4.5636572255,-0.35141646
abx_mega__chl_dmso__2,-3.8763138553000003,-0.30937060180000003
abx_mega__rach_dmso__4,2.6837484071,-1.0373639798
abx_mega__teix_dmso__7,1.3571588462,0.1859351304
abx_mega__ceru_ethanol__1,-1.4701772363,-0.9854712011000001
abx_mega__dmso-7__1,2.7144290442,-0.9195390984
abx_mega__naoh-6__3,5.6995441866,-0.1782413304
abx_mega__phos_ethanol__2,2.4259621882999998,0.204835178
abx_mega__metro_dmso__3,-0.229970744,0.163491105
abx_mega__van_dmso__4,-2.437272199,-0.2821283189
abx_mega__h2o-10__1,1.0408092047,0.37432614200000003
abx_mega__h2o-10__2,2.760400254,0.3068469748
abx_mega__dmso-6__3,3.0883468597,-0.8645460868
abx_mega__mem_dmso__1,1.5891377893,-0.0470500529
abx_mega__ethanol-8__2,2.3632298072,-1.1301478506
abx_mega__chl_h2o__4,-2.1359121111,1.9652529094000002
abx_mega__van_h2o__1,0.8254553401,0.1515233141
abx_mega__dcs_h2o__1,0.9758835109,0.8130670288
abx_mega__rif_dmso__5,6.866498709,-0.49253416980000003
abx_mega__dox_dmso__3,1.7415614631,0.5745170272
abx_mega__mem_dmso__2,2.8885317106,0.1910457092
abx_mega__lvx_dmso__2,2.1935317924,-0.6049088132
abx_mega__tet_h2o__2,-0.8927854654,1.3103896929
abx_mega__phos_h2o__5,0.5027817082,-0.6249227034
abx_mega__monac_dmso__1,-1.5076215002,-1.2529772917
abx_mega__str_h2o__3,-0.1811326443,0.0740895226
abx_mega__zeocin_h2o__2,1.8272391064,-0.10374878950000001
abx_mega__amyc-d_dmso__7,4.0365656494,0.3542145385
abx_mega__fidax_dmso__1,0.7216686249,0.1233966489
abx_mega__h2o-1a__1,0.1308888795,-0.0241069219
abx_mega__dox_dmso__4,7.4547347019,-0.6402722099
abx_mega__lzd_dmso__2,0.7575511159,1.9240751119000001
