,marR
Cr_1,-0.010059685004192936
Cr_2,-0.017474538584258497
Cr_3,-0.017926560636585098
Cr_4,-0.013380746199989187
Cr_5,-0.01124999485478412
Cr_6,-0.0025245612189678172
Fe_1,-0.018298206610847943
Fe_2,0.012656190750787132
Fe_3,0.059264958875370324
Fe_4,0.11058862372246901
Fe_5,0.1389829248032303
Fe_6,0.15203638830024868
Cd_1,0.015777544789824592
Cd_2,0.04107709233067939
Cd_3,0.048840979689000766
Cd_4,0.05016167578734492
Cd_5,0.04444871187390854
Cd_6,0.041841046103783634
Zn_1,-0.08896211680336
Zn_2,-0.11200178097770026
Zn_3,-0.008878676007653699
Zn_4,-0.15246122416059868
Zn_5,-0.01721806477520494
Zn_6,-0.0812797428529174
Cu_1,0.0069522927617983255
Cu_2,0.017092783406265483
Cu_3,0.029783043701456482
Cu_4,0.0220823014158698
Cu_5,0.010982224863258007
Cu_6,0.0153308841747861
Pb_1,0.007321803225382098
Pb_2,0.006298071810406534
Pb_3,0.009055372170580727
Pb_4,0.011219096480122108
Pb_5,0.01781761300184244
Pb_6,0.02186364819381357
