,yfbV
Cr_1,-0.00029089948769236783
Cr_2,0.002388966698680477
Cr_3,0.005967342357798253
Cr_4,0.01153707953237424
Cr_5,0.018689438426214237
Cr_6,0.0211558553578912
Fe_1,-0.0006078966445679298
Fe_2,-0.008425986761002242
Fe_3,-0.014060602553845869
Fe_4,-0.027554308644065877
Fe_5,-0.037010187083259434
Fe_6,-0.043172726159411666
Cd_1,0.007403106094193051
Cd_2,0.015385364240508344
Cd_3,0.02151386621468716
Cd_4,0.02698352150053905
Cd_5,0.02753974868625064
Cd_6,0.03328867827891499
Zn_1,-0.0002610276306760454
Zn_2,-0.006556747755305181
Zn_3,-0.011634779859932273
Zn_4,-0.013939747083381318
Zn_5,-0.009481857850244468
Zn_6,-0.0130005395208344
Cu_1,0.006462041926774884
Cu_2,0.008388201537254149
Cu_3,0.013589821416068506
Cu_4,0.018010372595840082
Cu_5,0.02291277080999531
Cu_6,0.03054070763077937
Pb_1,0.010044023638135656
Pb_2,0.014091060673925113
Pb_3,0.029237720453313583
Pb_4,0.04678839964389592
Pb_5,0.06352037050706379
Pb_6,0.07039451249586894
