,yfaD
Cr_1,0.005873833485066691
Cr_2,0.0014903868929690082
Cr_3,0.004155826448560266
Cr_4,0.0039734169348534494
Cr_5,0.002963067482991367
Cr_6,0.0010104361111644043
Fe_1,-0.012541298892887758
Fe_2,-0.0218713890943997
Fe_3,-0.03224710827957779
Fe_4,-0.034373752258670245
Fe_5,-0.0375486591170131
Fe_6,-0.037649568419861126
Cd_1,0.005475394173185657
Cd_2,0.014002600266336308
Cd_3,0.022696685351871016
Cd_4,0.030386411604991517
Cd_5,0.03615317989489413
Cd_6,0.05178587943194975
Zn_1,-0.005705546295893387
Zn_2,-0.003320447950408096
Zn_3,0.002347560794525623
Zn_4,0.011348907033572959
Zn_5,0.018361017980889262
Zn_6,0.029610128157616093
Cu_1,0.004353642423578167
Cu_2,0.008998894359284727
Cu_3,0.0018108376930557688
Cu_4,0.0011808804355533148
Cu_5,0.0016836615688685676
Cu_6,0.011190691424315505
Pb_1,0.0068357205296927116
Pb_2,0.008253755740412094
Pb_3,0.00414468392372508
Pb_4,0.0071419367468879965
Pb_5,0.010530379634927471
Pb_6,0.012740459968324205
