,b0287
control__wt_glc__1,8.8190573713
control__wt_glc__2,8.9778094229
fur__wt_dpd__1,8.0901921049
fur__wt_dpd__2,7.9852283717
fur__wt_fe__1,9.2121311581
fur__wt_fe__2,9.1437948858
fur__delfur_dpd__1,8.3260941254
fur__delfur_dpd__2,8.2703675105
fur__delfur_fe2__1,9.2031168895
fur__delfur_fe2__2,9.1233218007
acid__wt_ph5__1,10.640593001100001
acid__wt_ph5__2,10.6398462039
acid__delgadx_ph5__1,10.6182695306
acid__delgadx_ph5__2,10.6292492425
acid__delgadw_ph5__1,10.7821136687
acid__delgadw_ph5__2,10.698516832
acid__delgade_ph5__1,10.8003813757
acid__delgade_ph5__2,10.6797750239
oxidative__wt_pq__1,8.9215530123
oxidative__wt_pq__2,9.0195971132
oxidative__deloxyr_pq__1,9.2185491388
oxidative__deloxyr_pq__2,9.2660570164
oxidative__delsoxr_pq__1,9.3095129014
oxidative__delsoxr_pq__2,9.2252702511
oxidative__delsoxs_pq__1,9.2963056865
oxidative__delsoxs_pq__2,9.2055637749
nac_ntrc__wt_csn__1,7.7122825909
nac_ntrc__wt_csn__2,7.6536718899
nac_ntrc__wt_cytd__1,7.8706206508
nac_ntrc__wt_cytd__2,7.9559090358999995
nac_ntrc__wt_gln__1,7.7873175601
nac_ntrc__wt_gln__2,7.7992190741
nac_ntrc__bw_delnac_csn__1,7.1429163841
nac_ntrc__bw_delnac_csn__2,5.5582008078000005
nac_ntrc__bw_delnac_cytd__1,8.0795072066
nac_ntrc__bw_delnac_cytd__2,8.0937668039
nac_ntrc__bw_delnac_gln__1,8.0710944238
nac_ntrc__bw_delnac_gln__2,7.987515077
nac_ntrc__bw_delnac_nh4__1,9.1330524322
nac_ntrc__bw_delnac_nh4__2,8.991522306
misc__wt_no_te__1,9.1151137607
misc__wt_no_te__2,9.1114365355
misc__bw_delcbl__1,8.2925959168
misc__bw_delcbl__2,8.3270070568
misc__bw_delfabr__1,8.3335433381
misc__bw_delfabr__2,8.2430535553
misc__bw_delfadr__1,8.3833499446
misc__bw_delfadr__2,8.5420805048
misc__nitr_031__1,8.6258639432
omics__wt_glu__1,10.2566595026
omics__wt_glu__2,9.9894587515
omics__wt_gly__1,9.1783721099
omics__wt_gly__2,9.2683360643
omics__wt_thr__1,9.4784638873
omics__wt_thr__2,9.6851044975
omics__bw_ac__1,6.5915270606
omics__bw_ac__2,6.805300917
omics__bw_fum__1,6.2512492787
omics__bw_fum__2,6.1198070042
omics__bw_glc__1,8.0157923984
omics__bw_glc__2,7.839859674
omics__bw_pyr__1,7.1561408998000005
omics__bw_pyr__2,7.2164943208
ompr__wt_nacl__1,7.4008203074
ompr__wt_nacl__2,7.3865144983
ompr__bw_delompr_nacl__1,6.2608767291
ompr__bw_delompr_nacl__2,6.3512593529
minspan__wt_ade__1,9.736671726600001
minspan__wt_glc__1,9.1261360825
minspan__wt_glc__2,9.2090145561
minspan__wt_glc__3,9.2793434611
minspan__wt_glc__4,9.3097674148
minspan__wt_glc_anaero__1,11.2492395751
minspan__wt_glc_anaero__2,11.645559184
minspan__wt_trp__1,9.3785845091
minspan__bw_delcra_glc__1,9.3399283495
minspan__bw_delcra_glc__2,9.2765753769
minspan__bw_delcra_trp__1,9.5373560832
minspan__bw_delmntr__1,8.8159341002
minspan__bw_delnac_ade__1,10.0205816478
minspan__bw_delnac_glc__1,10.0415812965
cra_crp__wt_ac__1,7.5790495543
cra_crp__wt_ac__2,7.7390709372
cra_crp__wt_fru__1,8.8278866337
cra_crp__wt_fru__2,8.5486207149
cra_crp__delcra_ac__1,7.5975443123
cra_crp__delcra_ac__2,7.5982072810000005
