,-0.11817844116120377,-0.1057386052494981,-0.09329876933779244,-0.08085893342608677,-0.0684190975143811,-0.05597926160267544,-0.043539425690969774,-0.03109958977926411,-0.018659753867558443,-0.006219917955852777,0.006219917955852888,0.018659753867558554,0.03109958977926422,0.043539425690969885,0.05597926160267555,0.06841909751438122,0.08085893342608688,0.09329876933779255,0.10573860524949821,0.11817844116120388
thresh,-0.0621991795585283,0.0621991795585283,1,,,,,,,,,,,,,,,,,
unreg,1,1,3,7,12,24,31,90,382,1404,1745,456,69,18,6,5,2,0,1,0
unreg_genes,['bssR'],['yohC'],['hchA' 'yhjG' 'aidB'],['ybdK' 'kbp' 'yjdN' 'yodD' 'yccJ' 'ybeL' 'uspG'],"['cbpM' 'yjfN' 'cbpA' 'yhjD' 'ghoT' 'wrbA' 'yjdJ' 'yjdI' 'dacC' 'flxA'
 'paoA' 'ghoS']",[],[],[],[],[],[],[],[],[],[],['adhP' 'flhD' 'yghG' 'fiu' 'yebV'],['katE' 'yciG'],[],['ycaC'],[]
