,A,CdaR
R2,,0.6766681357436442
xmin,,-1.3824536902833668
xmid,,2.0635412419820387
xmax,,6.919617350499999
ystart,,1.3676718452818157
yend,,30.247429881593327
control__wt_glc__1,0.0488510352204399,0.3045944064999997
control__wt_glc__2,-0.0488510352204569,-0.3045944065000001
fur__wt_dpd__1,2.2262453166712675,0.5908711374999998
fur__wt_dpd__2,2.23839087476866,0.4956906764999998
fur__wt_fe__1,0.2227398841090799,-0.05790140650000052
fur__wt_fe__2,0.3833478790016916,-0.3302893235000002
fur__delfur_dpd__1,1.5349399462381672,0.2558336034999997
fur__delfur_dpd__2,1.4801780292896811,0.31491224849999977
fur__delfur_fe2__1,0.5360212247286813,0.11057833049999967
fur__delfur_fe2__2,0.1675626501434708,0.19037060249999985
acid__wt_ph5__1,1.2886300839771352,0.6447287224999996
acid__wt_ph5__2,1.626597468379907,0.7418150674999997
acid__delgadx_ph5__2,1.2584747843263673,0.5385734095000001
acid__delgadw_ph5__1,1.990426108095672,0.4951174584999998
acid__delgadw_ph5__2,1.8460377915121555,0.6219152504999998
acid__delgade_ph5__1,1.789221477176416,0.6563434064999996
acid__delgade_ph5__2,1.9385448983614304,0.5913806374999995
oxidative__wt_pq__1,3.4570016520342324,0.5829735514999999
oxidative__wt_pq__2,2.8877985277021456,0.2850900094999997
oxidative__deloxyr_pq__1,2.71824098138187,0.23358559249999944
oxidative__deloxyr_pq__2,2.6005908726429743,0.4746338445
oxidative__delsoxr_pq__1,2.0662698592970448,0.1714034944999998
oxidative__delsoxr_pq__2,2.20749329933046,0.3026686154999996
oxidative__delsoxs_pq__1,2.886696357400944,0.6398835094999997
oxidative__delsoxs_pq__2,2.855643550139752,0.7353312415000001
nac_ntrc__wt_csn__1,1.1579213572748006,0.4484424414999997
nac_ntrc__wt_csn__2,1.4845145810982243,0.35683254249999985
nac_ntrc__wt_cytd__1,0.6705582090303946,-0.0703791155000002
nac_ntrc__wt_cytd__2,0.8652371382443068,-0.11499445950000052
nac_ntrc__wt_gln__1,0.3461136006210223,0.09719650749999964
nac_ntrc__wt_gln__2,0.3307601608306855,-0.14771507350000054
nac_ntrc__bw_delnac_csn__1,3.3256394315207207,1.6313904225
