,BSU13960
M9exp_1,14.6227
M9exp_2,14.241
M9exp_3,14.0162
M9tran_1,14.0623
M9tran_2,13.9688
M9tran_3,14.4275
M9stat_1,11.8055
M9stat_2,11.8607
M9stat_3,11.8574
MG-0.1_1,13.5941
MG-0.1_2,12.8021
MG-0.1_3,13.8607
MG-0.2_2,13.3366
MG-0.2_3,13.5781
MG+5_1,13.8606
MG+5_2,13.3824
MG+5_3,13.3978
MG+10_1,13.9403
MG+10_2,13.5188
MG+10_3,12.7663
MG+15_1,13.0086
MG+15_2,14.0603
MG+15_3,13.6979
MG+25_1,13.49
MG+25_2,13.1812
MG+25_3,13.6078
MG+45_1,13.8887
MG+45_2,12.9193
MG+45_3,14.0684
MG+60_2,13.4983
MG+60_3,13.818
MG+90_2,13.5495
MG+90_3,14.1804
MG+120_1,13.534
MG+120_2,14.3455
MG+120_3,14.0389
MG+150_1,14.1546
MG+150_3,14.4664
GM-0.1_1,13.6853
GM-0.1_2,13.8882
GM-0.1_3,13.9025
GM-0.2_1,13.5273
GM-0.2_2,13.6693
GM-0.2_3,13.7244
GM+5_1,13.3961
GM+5_2,13.6452
GM+5_3,14.0096
GM+10_2,13.7118
GM+10_3,12.9059
GM+15_1,13.98
GM+15_2,13.6992
GM+15_3,13.8495
GM+25_1,14.549
GM+25_2,13.9536
GM+25_3,13.399
GM+45_1,14.2709
GM+45_2,12.9038
GM+45_3,13.5546
GM+60_1,14.3253
GM+60_2,13.1363
GM+60_3,13.0715
GM+90_1,14.3589
GM+90_2,14.2995
GM+90_3,13.6587
GM+120_1,13.5265
GM+120_3,13.898
GM+150_1,14.2218
GM+150_2,13.1907
GM+150_3,14.0718
BT_1,14.0375
BT_2,13.2875
B36_1,14.1628
B36_2,13.8116
B60_1,14.1385
B60_2,14.0568
S0_1,13.4206
S0_2,13.5815
S0_3,13.8021
S1_1,13.5521
S1_2,13.7011
S1_3,13.6969
S2_1,11.5204
S2_2,11.9637
S2_3,11.7431
S3_1,12.4562
S3_2,13.1325
S4_1,12.8358
S4_2,12.4303
S4_3,12.5507
S5_1,12.0691
S5_2,12.2042
S5_3,12.4116
S6_1,11.7033
S6_2,9.6562
S6_3,11.8883
S6/t_1,11.2888
S6/t_2,8.8035
