,lacA
Cr_1,0.0005857522737479702
Cr_2,0.010679089620997454
Cr_3,0.01602900656949573
Cr_4,0.029694597428886037
Cr_5,0.04189284732108329
Cr_6,0.05077131745954321
Fe_1,-0.007759532496282003
Fe_2,-0.013119880711166631
Fe_3,0.0048391561754841505
Fe_4,0.02702596928222572
Fe_5,0.05408772487440603
Fe_6,0.06475777996995953
Cd_1,0.008325829074450519
Cd_2,0.01796949413885049
Cd_3,0.025123367688273328
Cd_4,0.032600857749653996
Cd_5,0.039587937067167865
Cd_6,0.04915646825461042
Zn_1,-0.04234799150616103
Zn_2,-0.05192966674320797
Zn_3,-0.06646515440847102
Zn_4,-0.0621781510142998
Zn_5,-0.0540038710220499
Zn_6,-0.05774044738476649
Cu_1,0.022828348787772682
Cu_2,0.03641173262997855
Cu_3,0.0487071458416186
Cu_4,0.0578276528267393
Cu_5,0.06475706070380127
Cu_6,0.06339197612163955
Pb_1,-0.003661666955810139
Pb_2,0.0003796659160333645
Pb_3,0.006437658726163383
Pb_4,0.01248375124911535
Pb_5,0.01908608229753034
Pb_6,0.02850943971727479
