,purT
Cr_1,-0.0057391862005620325
Cr_2,-0.017912162786625444
Cr_3,-0.021535351799577718
Cr_4,-0.029634681257272224
Cr_5,-0.02633434226428379
Cr_6,-0.028142355797500653
Fe_1,-0.002836062761565781
Fe_2,0.02638519071217962
Fe_3,0.10374032518340898
Fe_4,0.17871080169088618
Fe_5,0.2637128542360327
Fe_6,0.3490785676790262
Cd_1,0.011329710841655636
Cd_2,0.018257424558775225
Cd_3,0.03303395360961597
Cd_4,0.0484657507642058
Cd_5,0.05160998674709626
Cd_6,0.060751805141562025
Zn_1,-0.0088761573185098
Zn_2,-0.0025115934441292762
Zn_3,0.016485336080699464
Zn_4,0.03158340653804703
Zn_5,0.03977501482274688
Zn_6,0.031827575210563584
Cu_1,0.0064076214102560865
Cu_2,0.011121977769119235
Cu_3,0.01574901349785977
Cu_4,0.01840330457080431
Cu_5,0.018401015523910786
Cu_6,0.019845633028437663
Pb_1,-0.004788024182326393
Pb_2,-0.0009482049444394168
Pb_3,0.008732317506788765
Pb_4,0.016286094597903682
Pb_5,0.020624498805791345
Pb_6,0.02394113685205966
