,sstT
Cr_1,0.003365291967780204
Cr_2,0.0060875687206821075
Cr_3,0.00738882799841946
Cr_4,0.010411882176018027
Cr_5,0.012326997439403386
Cr_6,0.00866090261483014
Fe_1,-0.005619082855613262
Fe_2,-0.020967531580323998
Fe_3,-0.04213417676675029
Fe_4,-0.06493755713847117
Fe_5,-0.08130914888629873
Fe_6,-0.09202776389225273
Cd_1,-0.00041387636019027244
Cd_2,-0.0012030635581943712
Cd_3,-0.003483078050468092
Cd_4,-0.0077560449732238705
Cd_5,-0.015443610348662741
Cd_6,-0.01544520920867791
Zn_1,-0.006136730991278754
Zn_2,-0.008391801705024673
Zn_3,0.003032676103641637
Zn_4,0.02373683395583196
Zn_5,0.048590638521139456
Zn_6,0.06932321064035046
Cu_1,0.002806536119146153
Cu_2,0.002869555907837391
Cu_3,0.005287698759187193
Cu_4,0.007110092205034092
Cu_5,0.00952170262665002
Cu_6,0.01680618847715939
Pb_1,0.0013331677584774348
Pb_2,0.0037067291919520976
Pb_3,0.007432630423893674
Pb_4,0.017773696533670957
Pb_5,0.03158254399611212
Pb_6,0.05087467508874075
