,mreC
Cr_1,0.0048418767571863
Cr_2,0.009220094684757991
Cr_3,0.011465090445385396
Cr_4,0.01415053513909464
Cr_5,0.014961779250133063
Cr_6,0.018999164655437304
Fe_1,-0.03034166698131075
Fe_2,-0.04552639659927818
Fe_3,-0.0455213007836351
Fe_4,-0.05000085638948437
Fe_5,-0.04702180975821233
Fe_6,-0.044392861261183296
Cd_1,0.003944681719912431
Cd_2,0.009235660175869824
Cd_3,0.01449581558810065
Cd_4,0.020349434479207132
Cd_5,0.018671535623709185
Cd_6,0.023792633319624786
Zn_1,0.004837071630897782
Zn_2,0.0014042946336826597
Zn_3,0.0023612123693557887
Zn_4,0.011665451700197114
Zn_5,0.02388307293670188
Zn_6,0.02716496255978365
Cu_1,-0.008678000861688951
Cu_2,-0.010961246984322735
Cu_3,-0.008090079867529628
Cu_4,-0.00711026040024087
Cu_5,-0.004022185043745195
Cu_6,-0.00234102248211718
Pb_1,0.006427577069082498
Pb_2,0.01848812045433607
Pb_3,0.011751769714921206
Pb_4,0.013890728445812756
Pb_5,0.013459110584255906
Pb_6,0.01828506084479621
