,ycbZ
Cr_1,0.006911197277638148
Cr_2,0.013351130955804
Cr_3,0.02050255345449783
Cr_4,0.032176234450745377
Cr_5,0.0358137309760192
Cr_6,0.04618384579397687
Fe_1,-0.01490284495936371
Fe_2,-0.022564320161367696
Fe_3,-0.01762213366413869
Fe_4,-0.0024135709491762357
Fe_5,0.02453333377262355
Fe_6,0.04847844216128743
Cd_1,0.0008089358075257841
Cd_2,0.005024895536650786
Cd_3,0.012994481161436785
Cd_4,0.02198366438645772
Cd_5,0.023904442443703596
Cd_6,0.035495902223797685
Zn_1,-0.02444313314017796
Zn_2,-0.036530536706294935
Zn_3,-0.04636801789682687
Zn_4,-0.03059502158714726
Zn_5,-0.03705496968244247
Zn_6,-0.04694776796827582
Cu_1,0.011696053332244893
Cu_2,0.030399923132081206
Cu_3,0.04600574042408132
Cu_4,0.05179852576905662
Cu_5,0.05471992182651381
Cu_6,0.059225994295161274
Pb_1,0.016547351572138845
Pb_2,0.02095996080000285
Pb_3,0.03534067108746037
Pb_4,0.052954930564812284
Pb_5,0.06691597838909939
Pb_6,0.07066573402495699
