,A,FapR
R2,,0.3628372225020887
xmin,,-3.3898799274030043
xmid,,
xmax,,1.919047783417428
ystart,,-11.689498169710369
yend,,4.941998037445794
SRX8138083,-0.9295448617178936,0.15117316340771758
SRX8138084,1.8570708767845423,0.23158221739821985
SRX8138085,-0.9275260150666422,-0.3827553808059392
SRX8138086,1.5189427820301358,0.038648882096113724
SRX8138087,-5.051103572603829,-0.8932696380458509
SRX8138088,-3.1887562257075697,-0.5433782396145901
ERX4111143,-1.3410084849533614,-0.06205807392973295
ERX4111144,1.9076659275164816,0.08348771575876235
ERX4111145,2.9297770386235027,0.41744552745571895
ERX4111146,1.1079818924316482,0.21471922159252976
ERX4111148,0.8069039959554467,-0.15144360086609066
ERX4111149,1.1399213517859663,0.14483852135965591
ERX4111150,2.9342210634923567,0.40227337457926093
ERX4111151,1.341008484953349,0.06205807392973384
ERX4111152,2.863469002266569,0.22773236659849336
ERX4111153,3.846765509633303,0.4330605187317804
ERX4111154,-0.6795673206768417,-0.09608516628696062
ERX4111156,-0.7701878849364722,-0.06843058801464874
ERX4111157,0.8948982599266758,0.04770493848079305
ERX4111158,2.7535132714463053,0.3380512365408279
SRX5577041,-0.0223099197264408,-0.1948809501954933
SRX5577042,0.2856113401828293,0.09253658813945087
SRX5577043,0.045976751070224996,0.11519092826580568
SRX5577044,-0.30927817152661,-0.012846566209759658
SRX5577045,-1.1744553405010558,-0.6876652156022445
SRX5577046,-0.35252815765725143,-0.0036038205844075577
SRX5577047,-0.7651939957480893,-0.20577958846663516
SRX5577048,-0.5397805184590928,-0.1946231225953099
SRX5577049,-5.738786005017515,-1.1728327425112246
SRX5577050,-4.952996068225176,-1.7131805612338369
SRX5577051,-7.886891192989608,-1.9788799614985075
SRX5577052,-8.483349654821339,-1.9055939758171228
SRX5577053,-8.729722527134879,-1.1821689549337453
SRX5577054,-6.628857857725572,-1.4907891892132348
SRX5577055,-9.34038328913722,-1.1732631881216289
SRX5577056,-7.955544689584193,-1.4221903409595802
SRX5577057,-8.169765577489574,-1.6650158010695402
SRX5577058,-7.775074353752262,-1.4110864822418998
SRX5577059,-7.8547588574669005,-1.6373614123285851
SRX5577060,-7.617985070634389,-1.4376557291425414
SRX5577061,-9.520573724317382,-1.2635924851707534
SRX5577062,-7.82680704622855,-1.118972056517208
SRX5577063,-7.956181748524048,-1.0694278304720264
SRX5577064,-9.355955706604666,-1.438011724400475
SRX5577065,-8.048447686966641,-0.89767322571769
SRX5577066,-8.086404586722576,-0.9735192109005252
SRX5577067,-9.183242051856011,-0.728275770545471
SRX5577068,-8.417442346303757,-0.8309888626641797
SRX533166,-0.14256252624109866,-0.027468700204096308
SRX533171,0.14256252624108606,0.02746870020409453
SRX533786,-2.1295627070502565,-0.4868681716408769
SRX533787,-1.5580326081506268,-0.12397782569379777
SRX533789,-2.4357576586631384,-0.3366966399624207
SRX533791,-1.3634481893339312,-0.2832075012782393
SRX533792,-2.7935165696076147,-0.4633561684377802
SRX533793,-2.435420522429699,-0.12154715502207306
SRX533794,-0.5168322039022937,-0.1260951865199047
SRX533795,-1.1778111398321118,-0.14063648783210958
SRX4703435,-0.5758960376629503,-0.10178123650869696
SRX4703436,0.2759325180895181,-0.0036186098851604953
SRX4703437,0.2999635195734339,0.10539984639385658
SRX4703438,7.608920089029416,0.44383148352290736
SRX4703439,7.4462295359962205,0.4624735222345757
SRX4703440,8.192449720676438,0.33065736224487896
SRX6902408,0.21649604641300496,0.4712573512972673
SRX6902409,-0.9279828369849388,0.2283804148441515
SRX6902410,-1.579308736901755,-0.10527890972323206
SRX6902411,-2.4622642844608067,0.5017203207059016
SRX6902412,-0.3686109091538596,0.4861007749332851
SRX6902413,-0.746747802540765,0.8260005310912124
SRX6902414,-1.2450227601888078,-0.3063136438184566
SRX6902415,1.2450227601888144,0.3063136438184566
SRX5278698,0.5292707269017873,-0.18677497088381226
SRX5278699,-0.09016254181379106,0.04972109317323081
SRX5278700,-0.43910818508799,0.1370538777105832
SRX5278701,1.6458592955584,0.27173676597359275
SRX5278702,2.0398236007727544,0.3143252511680963
SRX5278703,-3.098903648855865,-0.36530420524790586
SRX5278704,-17.937374856094767,-2.9877542412027585
SRX5278705,-15.727836711155453,-3.3898799274030043
SRX5278707,-12.248290121733758,-2.81354836294725
SRX5278708,-12.802971097012222,-3.1554277636852563
SRX5278709,-11.966131923869467,-2.6668284435627347
