,pppA
Cr_1,-0.06307410858065317
Cr_2,-0.053960904417880914
Cr_3,-0.08042571788952514
Cr_4,-0.1109550388744189
Cr_5,-0.09022428562728832
Cr_6,-0.08868878731823555
Fe_1,0.08844205117171876
Fe_2,0.1918752849064264
Fe_3,0.3964760875707385
Fe_4,0.5482829900648293
Fe_5,0.8108600223135107
Fe_6,0.1436594171782747
Cd_1,0.009599561905563221
Cd_2,-0.019938789852130885
Cd_3,0.013227825800913593
Cd_4,0.10868905938164054
Cd_5,0.1517815561822402
Cd_6,0.14263131984576533
Zn_1,-0.05658771824514885
Zn_2,-0.0755531647978486
Zn_3,-0.054586716663311566
Zn_4,-0.030487850352835424
Zn_5,-0.021316241109812343
Zn_6,0.004024283272192935
Cu_1,-0.011297637440517141
Cu_2,0.004894291951320165
Cu_3,0.017755957080911013
Cu_4,0.019808031120689514
Cu_5,0.02455220795503181
Cu_6,0.0025516569032567552
Pb_1,0.007446177455931867
Pb_2,0.00610453919908765
Pb_3,-0.00010957146736055877
Pb_4,0.008342736508960976
Pb_5,0.0030675893058222893
Pb_6,-0.004157253014247288
