,-0.057333333333333326,-0.04777777777777777,-0.03822222222222222,-0.028666666666666667,-0.019111111111111113,-0.00955555555555556,-6.938893903907228e-18,0.009555555555555546,0.0191111111111111,0.028666666666666653,0.038222222222222206,0.04777777777777776,0.05733333333333331,0.06688888888888886,0.07644444444444443,0.086,0.09555555555555553,0.10511111111111107,0.11466666666666664,0.1242222222222222
thresh,-0.043,0.043,1,,,,,,,,,,,,,,,,,
unreg,1,3,10,74,388,1261,1546,733,255,114,60,21,12,14,7,8,7,1,0,0
unreg_genes,['PN96_RS22810'],['PN96_RS03980' 'PN96_RS16605' 'ompW'],[],[],[],[],[],[],[],[],[],"['era' 'rbfA' 'nspC' 'rpoB' 'rpmJ' 'rpsO' 'rpmI' 'PN96_RS18030' 'rpoC'
 'PN96_RS22570' 'PN96_RS10625' 'cgtA' 'tgt' 'ychF' 'rplT' 'PN96_RS04345'
 'rplN' 'fis' 'rimM' 'PN96_RS04185' 'rplA']","['PN96_RS18025' 'PN96_RS02825' 'rpsM' 'PN96_RS04065' 'rplK' 'PN96_RS04070'
 'rplO' 'secY' 'rpsK' 'rplL' 'rplX' 'PN96_RS05385']","['PN96_RS21815' 'rpoA' 'rpsA' 'rplQ' 'rpsD' 'rpmD' 'rplM' 'fusA' 'trmD'
 'rpsN' 'rplE' 'rpsE' 'rpsB' 'rpsQ']",['rplS' 'rplF' 'rplJ' 'rpmC' 'rplR' 'rpsH' 'rpsF'],['rpsI' 'rpsJ' 'rpsG' 'rplI' 'rpsL' 'rplP' 'priB' 'rplC'],['rpsR' 'rplD' 'PN96_RS17705' 'rpsC' 'rplW' 'rpsS' 'rplB'],['rplV'],[],[]
