,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A
0,RichMedia__BHIN_Growth_Late,-9.451442267013663,4.929537826416259,2.0,0.0,-12.937151892188194,1.0,-5.965732641839132
1,RichMedia__BHIN_Growth_Mid,-5.241354041596203,0.03149160126184113,2.0,2.0,-5.263621966398874,3.0,-5.219086116793533
2,RichMedia__BHIN_Growth_Stat,-0.05057325750752441,0.40878382274146513,2.0,4.0,0.2384805555923252,5.0,-0.339627070607374
3,RichMedia__LBv2_Growth_Late,3.8879045798526524,2.2375693780037222,2.0,6.0,2.305704099290855,7.0,5.47010506041445
4,RichMedia__LBv2_Growth_Mid,-1.0436096431476471e-14,2.91766202652775,2.0,8.0,-2.063098604168267,9.0,2.063098604168246
5,RichMedia__LBv2_Growth_Stat,-22.76231142715023,5.1937270447947865,2.0,10.0,-19.08979181414387,11.0,-26.434831040156592
6,RichMedia__MHB_Rich_Mid,-0.6070857936307136,2.580051138265672,2.0,12.0,1.2172858620450138,13.0,-2.431457449306441
7,RichMedia__NBO_Rich_Mid,6.2365564707136585,1.9413690359918885,2.0,14.0,4.863801260578203,15.0,7.609311680849113
8,Carbon__M9Na_Arabinose_Mid,3.8142957955117733,0.29325227346536875,2.0,16.0,4.021656466677507,17.0,3.6069351243460392
9,Carbon__M9Na_Galactose_Mid,-8.599431527444793,1.3714315892409634,2.0,18.0,-7.629682950759064,19.0,-9.569180104130522
10,Carbon__M9Na_GlcNAcGrowth_Late,-9.353054470249136,0.5951006568019228,2.0,20.0,-9.773854180162344,21.0,-8.932254760335928
11,Carbon__M9Na_GlcNAcGrowth_Mid,-10.148276129253476,1.1743765312655885,2.0,22.0,-10.97868573817771,23.0,-9.317866520329243
12,Carbon__M9Na_GlcNAcGrowth_Stat,-5.0954024959679725,1.3055788744298746,2.0,24.0,-4.172218820484709,25.0,-6.018586171451237
13,Carbon__M9Na_GlcNAc_Mid,-5.762901712278262,4.961279811634371,2.0,26.0,-2.254747114107682,27.0,-9.271056310448843
14,Carbon__M9Na_Gluconate_Mid,-7.050812148887192,2.8357705392409516,2.0,28.0,-9.056004727073502,29.0,-5.045619570700882
15,Carbon__M9Na_Glucosamine_Mid,-0.5153792244027068,1.5260736905010974,2.0,30.0,0.5637178307409996,31.0,-1.5944762795464131
16,Carbon__M9Na_Glycerol_Mid,-9.44020363115585,0.8709209149576724,2.0,32.0,-8.824369546312086,33.0,-10.056037715999611
17,Carbon__M9Na_Maltose_Mid,4.568065405672726,1.704666342325869,2.0,34.0,5.773446535991817,35.0,3.362684275353636
18,Carbon__M9Na_Mannitol_Mid,2.7964244649905434,1.6078990180114017,2.0,36.0,3.933380764089596,37.0,1.6594681658914905
19,Carbon__M9Na_Trehalose_Mid,-6.359208969285375,5.509347985117068,2.0,38.0,-10.254906289478097,39.0,-2.4635116490926543
20,Carbon__M9Na_ethanol_Mid,-13.894227259016974,0.8067315321057529,2.0,40.0,-13.323781922067983,41.0,-14.464672595965965
21,Carbon__M9Na_fructose_Mid,-10.05432099760209,1.761037808792335,2.0,42.0,-8.809079221079132,43.0,-11.29956277412505
22,Carbon__M9Na_fumarate_Mid,-4.156285408363358,1.4270573076462656,2.0,44.0,-3.1472035089848664,45.0,-5.16536730774185
23,Carbon__M9Na_glucoseGrowth_Late,-3.029345387943804,1.809098700606001,2.0,46.0,-4.308571346978079,47.0,-1.7501194289095288
24,Carbon__M9Na_glucoseGrowth_Mid,6.349087922075114e-15,0.16467503953081822,2.0,48.0,0.1164428371444107,49.0,-0.116442837144398
25,Carbon__M9Na_glucoseGrowth_Stat,-5.570953872760802,2.5082292700104456,2.0,50.0,-3.797367947165832,51.0,-7.344539798355772
26,Carbon__M9Na_ribose_Mid,-1.7147311563464553,4.286045655108217,2.0,52.0,1.3159607908557032,53.0,-4.745423103548614
27,Carbon__M9Na_succinate_Mid,-15.44515746334283,5.317116197121443,2.0,54.0,-11.685388544001432,55.0,-19.20492638268423
28,Carbon__M9Na_sucrose_Mid,4.45529022513861,4.12303197970074,2.0,56.0,1.5398663532432204,57.0,7.370714097033999
29,TF__LBv2_HapROver_Late,3.2117187017177415,4.740979787758782,2.0,58.0,6.564097659110335,59.0,-0.1406602556748519
30,TF__LBv2_HapROver_Mid,-15.033848174196219,2.1039547787406714,2.0,60.0,-13.546127482838848,61.0,-16.52156886555359
31,TF__LBv2_HapROver_Stat,10.262427195016816,3.8775036541008663,2.0,62.0,13.004236322907156,63.0,7.520618067126477
32,TF__LBv2_LuxOOver_Late,5.774645777986304,0.8247654029259132,2.0,64.0,6.357842987283273,65.0,5.191448568689336
33,TF__LBv2_LuxOOver_Mid,5.625615620327157,1.8158824138406418,2.0,66.0,4.341592851663043,67.0,6.909638388991271
34,TF__LBv2_LuxOOver_Stat,8.478990745213292,1.4148982283566107,2.0,68.0,9.479474877173084,69.0,7.478506613253501
35,TF__LBv2_QstROver_Late,5.220021202142032,0.7667280770651068,2.0,70.0,4.677862579523174,71.0,5.762179824760891
36,TF__LBv2_QstROver_Mid,14.744687777951764,1.9178778422782488,2.0,72.0,13.38854335018939,73.0,16.100832205714138
37,TF__LBv2_QstROver_Stat,14.974597098824624,4.712276895115171,2.0,74.0,18.30668004618925,75.0,11.642514151459997
