,yhcG
Cr_1,0.00493681090434466
Cr_2,0.010959003408385156
Cr_3,0.012897599941391957
Cr_4,0.006910121993896532
Cr_5,0.003870006543509868
Cr_6,0.0026739977265931407
Fe_1,-0.002070056033770754
Fe_2,0.0251597721645881
Fe_3,0.03920250504891138
Fe_4,0.04625082130165894
Fe_5,0.03139482624641286
Fe_6,0.030099506010667382
Cd_1,0.0060072938081969065
Cd_2,0.010555594455554113
Cd_3,0.01887017013952968
Cd_4,0.02339815019734587
Cd_5,0.024477270603417537
Cd_6,0.030700857447890573
Zn_1,0.0682359228272991
Zn_2,0.343104415877891
Zn_3,0.571200155110206
Zn_4,0.7191757129889155
Zn_5,0.8036610023183858
Zn_6,0.8373930899396202
Cu_1,0.0020148097554530207
Cu_2,0.008242897660060547
Cu_3,0.014047745987707905
Cu_4,0.0190283618697124
Cu_5,0.021186223344947862
Cu_6,0.02438363375613242
Pb_1,0.021028441702539112
Pb_2,0.07811516949721382
Pb_3,0.15052505033915253
Pb_4,0.2333854984621297
Pb_5,0.31303350126086504
Pb_6,0.3932877609672733
