,yidC
Cr_1,0.002354193832414436
Cr_2,0.006013628091442618
Cr_3,0.009492264635964991
Cr_4,0.0096046145128319
Cr_5,0.0059762209524796064
Cr_6,0.0020505360293914367
Fe_1,-0.0050711902814901295
Fe_2,-0.003224089801904133
Fe_3,0.004001751512014902
Fe_4,0.005734412847528622
Fe_5,0.013289526571436429
Fe_6,0.021645446805789517
Cd_1,0.011758484006390785
Cd_2,0.02322184817605092
Cd_3,0.030966123688117863
Cd_4,0.035065047926219534
Cd_5,0.03349127395661978
Cd_6,0.03414743625122762
Zn_1,-0.006163338289561146
Zn_2,-0.005428491130058236
Zn_3,0.009227915865474034
Zn_4,0.03128217574369915
Zn_5,0.05417114066275753
Zn_6,0.07177468442913207
Cu_1,0.004632161537219697
Cu_2,0.008359742103764205
Cu_3,0.015042974890203231
Cu_4,0.021792112359325013
Cu_5,0.030468069313895407
Cu_6,0.0420396859659008
Pb_1,0.003690072182695907
Pb_2,0.010669616028356196
Pb_3,0.023252833379425814
Pb_4,0.03287820104341757
Pb_5,0.04219537658918352
Pb_6,0.05330067313179218
