,hscC
Cr_1,0.009229458429385232
Cr_2,0.010089745318581504
Cr_3,0.0059494600311010655
Cr_4,-0.01428134851550264
Cr_5,-0.022428518358264583
Cr_6,-0.018304134548205484
Fe_1,-0.0073872476939267065
Fe_2,-0.027423831431146118
Fe_3,-0.05135961807152157
Fe_4,-0.06734185249638168
Fe_5,-0.07655060959778145
Fe_6,-0.08852633310678
Cd_1,0.00459665604067634
Cd_2,0.013387439287689887
Cd_3,0.021702390232539132
Cd_4,0.02679598730333736
Cd_5,0.02639141503692212
Cd_6,0.03350595562420109
Zn_1,-0.001905885305295014
Zn_2,0.033625485009249466
Zn_3,0.08160243023547907
Zn_4,0.1195533596741629
Zn_5,0.09054855047322967
Zn_6,0.14073887123040568
Cu_1,0.00259227016234167
Cu_2,0.007539733014558795
Cu_3,0.010947073789240362
Cu_4,0.014673779271541844
Cu_5,0.025775417726349267
Cu_6,0.03647639250629652
Pb_1,0.003099906961866884
Pb_2,0.007566566610537699
Pb_3,0.017392569172523704
Pb_4,0.025887616081433626
Pb_5,0.03967285688382547
Pb_6,0.045237413303979436
