,mntR
Cr_1,-0.000218668941963376
Cr_2,0.0013032276169379195
Cr_3,0.0024316828352653
Cr_4,0.0015124431883567812
Cr_5,0.0033923725247853673
Cr_6,0.004423610437461804
Fe_1,-0.011616884563235027
Fe_2,-0.0266794407203996
Fe_3,-0.03757955117626334
Fe_4,-0.04570130989628573
Fe_5,-0.053192492754878966
Fe_6,-0.05873198229503234
Cd_1,-0.002197681658648763
Cd_2,-0.001547204034346116
Cd_3,0.0009204122603754584
Cd_4,0.0013554077148505974
Cd_5,-0.0018884147573506906
Cd_6,-0.001523152245851009
Zn_1,-0.0075398933984804455
Zn_2,-0.0061535911239214884
Zn_3,0.008245375603153875
Zn_4,0.023591255882594704
Zn_5,0.0411504754257304
Zn_6,0.048551602540888895
Cu_1,0.003375613224510022
Cu_2,0.011209080178031856
Cu_3,0.018026494753077854
Cu_4,0.02303079019695729
Cu_5,0.02826727650253475
Cu_6,0.03746257227514645
Pb_1,0.00631427573584239
Pb_2,0.012016705762156271
Pb_3,0.021096824589902342
Pb_4,0.03191762646664592
Pb_5,0.046992701381068175
Pb_6,0.06398842322714587
