,ygcB
Cr_1,-0.0018683798497967728
Cr_2,-0.012771973476194558
Cr_3,-0.014907817015458291
Cr_4,-0.014895733112363696
Cr_5,-0.011877468845557206
Cr_6,-0.020285508114004053
Fe_1,-0.20753115239552825
Fe_2,-0.2313059542078243
Fe_3,-0.2550562152962101
Fe_4,-0.2620930535546604
Fe_5,-0.2783822592370883
Fe_6,-0.2813932615161311
Cd_1,0.007730639324529716
Cd_2,0.012382263890325668
Cd_3,0.020715970195153626
Cd_4,0.028197988696817337
Cd_5,0.033383801217143766
Cd_6,0.03681537445379617
Zn_1,-0.02886429625079665
Zn_2,-0.03053983351497365
Zn_3,-0.029568482591060832
Zn_4,-0.028912674003739505
Zn_5,-0.036877170653935865
Zn_6,-0.04909559178511955
Cu_1,0.003686119311991941
Cu_2,0.013114247156925477
Cu_3,0.019443125333382025
Cu_4,0.0319229418487074
Cu_5,0.039758170594760535
Cu_6,0.04667286226850725
Pb_1,0.0032114830912577325
Pb_2,0.015470810621356343
Pb_3,0.02253999322521507
Pb_4,0.023902525467524718
Pb_5,0.022698044343621118
Pb_6,0.025484979578694573
