k,name,regulator_readable,function,category,n_genes,exp_var,precision,recall,category_num
0,UC-1,,,Uncharacterized,1,0.024402631069905922,,,0
1,UC-2,,,Uncharacterized,8,0.006648722491850001,,,1
2,UC-3,,,Uncharacterized,1,0.03645465170542461,,,2
3,Cadmium,,,Uncharacterized,3,0.041715968196143205,,,3
4,UC-4,,,Uncharacterized,1,0.08004392268375082,,,4
5,Lead,,,Uncharacterized,1,0.019010200866529492,,,5
6,Iron,,,Uncharacterized,4,0.08297278118415319,,,6
7,Zinc - Steady,,,Uncharacterized,14,0.16189882219259655,,,7
8,Zinc - Fast,,,Uncharacterized,4,0.09293410454086837,,,8
9,UC-5,,,Uncharacterized,1,0.2658819035700587,,,9
10,Copper,,,Uncharacterized,1,0.03781980673966179,,,10
11,Chromium,,,Uncharacterized,1,0.01060332142100695,,,11
12,Zinc - Intermediate,,,Uncharacterized,4,0.09475653391423156,,,12
13,UC-6,,,Uncharacterized,1,0.021021082665803603,,,13
14,UC-7,,,Uncharacterized,2,0.00599542933839281,,,14
