,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
zntA,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
rpoS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rihC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ypfH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
alsI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ygdQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yabP,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ypfJ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
talB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yqeI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yabI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hda,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
talA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ygeH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ilvI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yfgB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pfkB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ygeY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
secM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
iscS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
setB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ygiL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yacL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
iscR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
crp,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
eaeH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
proB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yfjL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pdhR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ykgD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
aroL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ydaQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pykF,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gsk,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
serC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yohC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sdhC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
smtA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cysB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
csgC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mngR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
amiA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
aroH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mviN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tktA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
slp,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ycjL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ycgM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
nuoM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rfaD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ycjX,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ycjM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
insB_4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
murC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yncE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ycbR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hydN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mrcB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yneJ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ycbB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hycB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fhuA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ydiQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hemG,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cueO,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rpoH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
b4285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cusC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
nac,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yiaT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
wrbA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ybdR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yidK,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
appA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ybeR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rsuA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yidR,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
phoH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ybeU,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yfiC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yidH,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ycjY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ubiF,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yagY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yajG,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fepA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ybhE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yagZ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mlc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
narX,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ugpB,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ykgI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pitB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yciI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dctA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
b0309,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fecA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
uxaC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dppA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
yafK,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ychM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ppiA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
alsB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
