,Cr_1,Cr_2,Cr_3,Cr_4,Cr_5,Cr_6,Fe_1,Fe_2,Fe_3,Fe_4,Fe_5,Fe_6,Cd_1,Cd_2,Cd_3,Cd_4,Cd_5,Cd_6,Zn_1,Zn_2,Zn_3,Zn_4,Zn_5,Zn_6,Cu_1,Cu_2,Cu_3,Cu_4,Cu_5,Cu_6,Pb_1,Pb_2,Pb_3,Pb_4,Pb_5,Pb_6
zntA,0.022607994813282867,0.12547410461662753,0.2586735547668894,0.38655209281121816,0.5039890513353462,0.6004710118238133,-0.006784999281202529,0.005519284756128442,0.001030178712053606,-0.039275668658683316,-0.0961617527494604,-0.1572139323705269,0.10102928342256967,0.444760979022844,0.8324609281070894,1.1593816052097785,1.4057307154656968,1.6045350683037978,0.08413676242321934,0.3819756605252447,0.6935521337201938,0.9195713351669385,1.0523099030689862,1.1304598436936977,0.003419508126349572,0.025079624014837414,0.0556276263068484,0.08540297976166931,0.11311004576159416,0.13285338726820245,0.008574984281770108,0.05444012299939452,0.12344778989785304,0.1950409300354719,0.26653441638850256,0.3329194833072224
rpoS,-0.00012465602849316516,-0.005932893010877215,-0.0020990107615325173,0.007101912217765011,0.008851471156211217,0.0007093135924513738,-0.028984381798786037,-0.05243352539447664,-0.05249569877783978,-0.056424985895000626,-0.05237115979323777,-0.045956561933651836,0.004628014583337363,0.005581615704998264,0.0047460639263994225,0.005238942218521404,-0.0006570165407482548,0.0072603471979706125,0.0004372606863423135,0.00226548439521668,0.01425777515246974,0.029335206139745443,0.03657796234614037,0.039211814534232683,0.0035326805803532835,0.010450747749574794,0.015101710225769619,0.019166604465885688,0.02187327771966651,0.022718469594895173,0.004249375495160261,0.013026506022901122,0.02046133562589203,0.02607778606011405,0.031285985597998965,0.03273414786672574
rihC,-0.0013641238666742405,0.007186933498947794,0.014602043469626732,0.0161263761955869,0.01992782612643149,0.02470938504283467,-0.001183946684658743,-0.00574092889391916,-0.005601503546201721,-0.008446430901170376,-0.01133190094704107,-0.003920490679616731,0.024349460964596385,0.030222669827486774,0.03766768175720943,0.05853615265442633,0.0812365647820451,0.13302601740160475,-0.0012106022583739295,0.0027381301360393344,0.0222026369662071,0.0413354278871548,0.06521689791436804,0.08733434967114162,0.0007459952445590767,0.006585722165167309,0.01822080744287745,0.029148404177829657,0.040553066918643306,0.047602417426857065,-0.007717791754465068,-0.007443339966728526,-0.0025758975849838497,0.0028710607486929283,0.022218061342366764,0.021667498165369385
ypfH,0.0011681683131980055,0.0018700995082248228,0.005923299287531486,0.0055160855426652,0.007248677185951206,0.008271248956353451,-0.0037614137978399524,-0.02151323040624544,-0.043257099236379035,-0.0657325631059317,-0.08311387316807907,-0.09391264572920634,0.002751768255831572,0.005758647976610317,0.0037071503885713593,0.0033563044714330303,0.0003624839324327121,0.0009734041081250527,-0.0031021891456925344,-0.002386251169366845,0.009775615691557412,0.019913145950768915,0.02664859488078953,0.02722594476633397,0.0040967544257068614,0.006716036006402414,0.010176295091262355,0.012111931471856822,0.01759965206658058,0.02541548628242572,0.0021947612794548333,0.007145431636337112,0.0106120507729111,0.01485948390756376,0.022137925912407024,0.028901564204008193
alsI,-0.005794167169368119,-0.003923382777628111,-0.003894174499230551,-0.010852301591671113,-0.015240200234681657,-0.024830295586306943,-0.01035545227760247,-0.016232097224126517,-0.006071488570727822,-0.005964796142749804,-0.011567555112649132,-0.01459492120319869,0.006519921565921053,0.023902462402205144,0.025886075005836003,0.023006269419958415,0.012732520038023257,0.025998001996200008,-0.007353699241508238,-0.0036458227300548867,0.010969396157847708,0.04232393563833045,0.08075635533561411,0.10619228232461908,0.0026146250167838874,0.011017965379101038,0.026793261181088938,0.044751293690850485,0.060499609830000335,0.07680491347455512,0.0024980578837481573,0.013474546535564623,0.033344385752578684,0.05425075934952663,0.07069620722181896,0.09139024820024493
ygdQ,-0.0027523429987117314,-0.0037345621362151,-0.005343408714448934,-0.0076034931146327705,-0.011690586304810888,-0.015513249033586612,-0.0035260921871525094,-0.010090514123983705,-0.016402632384117582,-0.026069850270676057,-0.029467095959423775,-0.02977779963238205,0.02585615693049863,0.057399861286951015,0.09111624608786008,0.12909687920978752,0.16542984029458307,0.20354225727802064,-0.0009923963120490216,0.007458448418139391,0.028821592626641926,0.054869167919003065,0.07439781894219095,0.08328480860417459,0.003314045769814344,0.006835144866640964,0.00791131091997347,0.011245513836174295,0.01723914883684624,0.02506457852048984,0.0075632415320456515,0.01569091836223706,0.027465745114337924,0.03883575398100441,0.054565879925329734,0.07344336865956785
yabP,0.0061061459481062145,0.010196120988230951,0.015407082952484184,0.015553395482207376,0.01831351460725854,0.01859453716009756,-0.011791733087891566,-0.04024448354218612,-0.07216276162653767,-0.1080607389454741,-0.13923583580362614,-0.17136880707789925,0.01103129563813977,0.02875707738253245,0.040761247664496736,0.0475302897556783,0.05269125796179862,0.05564873299699071,-0.002520900338652327,-0.009686397420356069,-0.008216689620552569,-0.006408647696031057,-0.006491604446766322,0.0009426587366853582,-0.00014622139204321656,0.009167799168621827,0.016501808819817828,0.0158607207996653,0.015350187396535644,0.024871694844030418,-0.00237563391845313,0.002303450531593233,0.008457738081433437,0.01881466341158466,0.0372968311682997,0.04886757100501448
ypfJ,0.0011215177548350946,0.0035353960549695017,0.0044174661359637065,0.007860771918067264,0.011361449191521102,0.011362280092713185,-0.01119653320490518,-0.03954089524268824,-0.07265984673312814,-0.10820264069791796,-0.1330587165840947,-0.1495380197362803,0.0039966482262671155,0.011743937040354334,0.02234979938248648,0.035137707000442636,0.04750671920019276,0.0676390440117274,0.0004712015467379116,0.0072357045737152575,0.02824326205176968,0.05128759087469703,0.06856489514107421,0.0815341736115092,0.002273491611835045,0.003495220264256545,0.004193782347712136,0.0053538376438365285,0.009025487050125944,0.01798810502376126,0.0058085731235797185,0.011373724214691369,0.02267644375672661,0.029984595593301782,0.03891781023307762,0.049440491595511823
talB,0.00490329626019965,0.012550135199311734,0.017693803936638476,0.018626783308789197,0.012492325357023984,0.005250693329951281,-0.002696692563022514,-0.009209303983324577,-0.019983857240122402,-0.03813235938189943,-0.04476994653904992,-0.04107825848853186,-0.0018871488363866983,-0.0014523088748562875,0.04960281390522656,-0.006449535256676429,0.002736132830001411,0.014607427697993497,-0.0023624507770055427,-0.0042642633328553725,0.0021143444466016066,0.017738221359026727,0.03181656223832213,0.04582429310760442,0.0051718419427416356,0.008046157801713714,0.012723377501760415,0.015779978908736333,0.0168180918546574,0.021299250731531064,0.0006386172240073951,0.00445326470055546,0.00692926876200751,0.011280557635542565,0.0270149864390362,0.04481818748174298
yqeI,-0.0043975670366882,-0.011610323952708269,-0.012380370819163341,-0.014837022592082862,-0.012026584605084323,-0.012701143086979208,-0.010581316687681334,-0.020937712528029687,-0.024137398049085417,-0.028080901107118004,-0.029960005653634294,-0.023690620081867297,-0.0007038168439414094,0.0009703896050841731,0.0029614515665373612,0.004810119647724646,0.004124220666449008,0.008819327865896478,-0.00691357521185665,-0.004627922287971083,0.009867738318403351,0.02578462017253414,0.04043502766080891,0.05279742133562275,0.005310577187501138,0.012212684599940227,0.017542680151755308,0.017270739962790785,0.02160462485643894,0.02631169574820144,0.00956589459392186,0.016503268891638074,0.02413340481540688,0.03312809865219389,0.03905285892482578,0.04406284805956124
