,project,condition,n_replicates
Cr_1,Cr,1,1.0
Cr_2,Cr,2,1.0
Cr_3,Cr,3,1.0
Cr_4,Cr,4,1.0
Cr_5,Cr,5,1.0
Cr_6,Cr,6,1.0
Fe_1,Fe,1,1.0
Fe_2,Fe,2,1.0
Fe_3,Fe,3,1.0
Fe_4,Fe,4,1.0
Fe_5,Fe,5,1.0
Fe_6,Fe,6,1.0
Cd_1,Cd,1,1.0
Cd_2,Cd,2,1.0
Cd_3,Cd,3,1.0
Cd_4,Cd,4,1.0
Cd_5,Cd,5,1.0
Cd_6,Cd,6,1.0
Zn_1,Zn,1,1.0
Zn_2,Zn,2,1.0
Zn_3,Zn,3,1.0
Zn_4,Zn,4,1.0
Zn_5,Zn,5,1.0
Zn_6,Zn,6,1.0
Cu_1,Cu,1,1.0
Cu_2,Cu,2,1.0
Cu_3,Cu,3,1.0
Cu_4,Cu,4,1.0
Cu_5,Cu,5,1.0
Cu_6,Cu,6,1.0
Pb_1,Pb,1,1.0
Pb_2,Pb,2,1.0
Pb_3,Pb,3,1.0
Pb_4,Pb,4,1.0
Pb_5,Pb,5,1.0
Pb_6,Pb,6,1.0
