,feaR
Cr_1,-0.0069041411411105685
Cr_2,-0.00942948019542698
Cr_3,-0.01008899915521018
Cr_4,-0.02217482779203912
Cr_5,0.0013806860728654518
Cr_6,0.015939211036010457
Fe_1,-0.03341350675616988
Fe_2,-0.0411461361597434
Fe_3,-0.04340970504949793
Fe_4,-0.054533960575089115
Fe_5,-0.0595517178910071
Fe_6,-0.06107289663397625
Cd_1,0.008016797058318445
Cd_2,0.01882774412860354
Cd_3,0.029389110706491525
Cd_4,0.041287827718641285
Cd_5,0.040208195533956825
Cd_6,0.05126513760921278
Zn_1,-0.0024392841080829865
Zn_2,-0.004105227672113338
Zn_3,0.005879500683657058
Zn_4,0.021293469330364863
Zn_5,0.031000873597315112
Zn_6,0.020804136078599118
Cu_1,0.012914211622356078
Cu_2,0.03407442702184348
Cu_3,0.05518609475362879
Cu_4,0.04727936881434131
Cu_5,0.04287962464414223
Cu_6,0.0454815617600312
Pb_1,-0.06286688829298502
Pb_2,-0.12465280115624178
Pb_3,-0.18264441548172827
Pb_4,-0.24004125396061016
Pb_5,-0.29334313900930864
Pb_6,-0.3394539470424294
