,creB
Cr_1,0.0005752203751191449
Cr_2,0.007130802689703969
Cr_3,0.02031900031695069
Cr_4,0.038169979963176316
Cr_5,0.05799935417225754
Cr_6,0.07698340081642555
Fe_1,-0.004102559767717926
Fe_2,-0.024894308836402142
Fe_3,-0.03773203618043463
Fe_4,-0.06092210347394497
Fe_5,-0.08224551172334227
Fe_6,-0.09806223736066418
Cd_1,0.0074207104569150905
Cd_2,0.02067668004343281
Cd_3,0.03336006934611107
Cd_4,0.04692143164660837
Cd_5,0.054832733131623033
Cd_6,0.0651089530138104
Zn_1,0.0075717674960805404
Zn_2,0.023660465258992697
Zn_3,0.04799044384392488
Zn_4,0.06931911797159841
Zn_5,0.08705148397693463
Zn_6,0.0988263540749444
Cu_1,-0.00860019667226552
Cu_2,-0.012659665086931171
Cu_3,-0.018325394856135928
Cu_4,-0.023525500010826636
Cu_5,-0.02278864726967372
Cu_6,-0.018427150739723255
Pb_1,0.008349380802130369
Pb_2,0.01719301821859364
Pb_3,0.028994585752432307
Pb_4,0.04703521587170381
Pb_5,0.06851150637571578
Pb_6,0.08505019861477141
