,yliG
Cr_1,-0.0008298979419211217
Cr_2,-0.00014208738299768754
Cr_3,-0.0003988720712829267
Cr_4,-0.0032744249748555467
Cr_5,-0.011368342647488915
Cr_6,-0.01920702912450297
Fe_1,-0.0007369432716598358
Fe_2,0.003072907584332677
Fe_3,0.01754603011955548
Fe_4,0.029193349952061232
Fe_5,0.040902859973584775
Fe_6,0.048136114390309535
Cd_1,0.005707166852855553
Cd_2,0.017863087065692316
Cd_3,0.030717869288001326
Cd_4,0.03932166008099765
Cd_5,0.037382481452275296
Cd_6,0.04097790173360802
Zn_1,-0.001826813890214632
Zn_2,0.0229892441086817
Zn_3,0.03784686709038166
Zn_4,0.05277272295571055
Zn_5,0.06778238596040424
Zn_6,0.0808192564026699
Cu_1,-0.002344364746836575
Cu_2,0.0017408989773750555
Cu_3,0.007716125825410331
Cu_4,0.015625789341476484
Cu_5,0.02320072723833044
Cu_6,0.029381413333100282
Pb_1,-0.0022380234388080763
Pb_2,0.002656254675112709
Pb_3,0.019381043399604808
Pb_4,0.031826644432943293
Pb_5,0.04956396446180583
Pb_6,0.06497579456927323
