,A,Fnr,NikR,RpoN,NarL
R2,,0.19617768496861865,0.049607913580601126,0.014965892045724738,0.01240224329802031
xmin,,-2.574525767,-3.251447425,-2.3873792415,-3.0560450505
xmid,,,0.44637188767980046,-0.6505500644284687,0.47364476979891557
xmax,,2.044364118,2.541323145,1.0586750145,1.2829432885
ystart,,7.457390225301538,2.8176798523880002,2.5594418490661996,2.9618514064021872
yend,,-3.226240445905595,9.884273793639103,4.276624737663616,6.045989461491115
control__wt_glc__1,0.2286981268,-0.052632,0.23049265700000002,-0.0046102245,0.0046058085
control__wt_glc__2,-0.2286981268,0.052632,-0.23049265700000002,0.0046102245,-0.0046058085
fur__wt_dpd__1,2.1627986268,-0.22332754900000001,0.6285456070000001,0.7030172055,0.7958407655
fur__wt_dpd__2,2.2801120881,-0.207263208,0.254976807,0.8161369585,0.7809120795000001
fur__wt_fe__1,0.2088835716,-0.5591243690000001,-0.146359393,-0.0984432415,0.0860204375
fur__wt_fe__2,0.052777881500000005,-0.518033721,-0.09143501700000001,-0.0146245195,0.1956717155
fur__delfur_dpd__1,1.8729507296,-0.358693874,0.17321444800000002,0.5910067835,0.6368233545
fur__delfur_dpd__2,2.125478315,-0.349967695,0.260573967,0.7714851735,0.6053562415
fur__delfur_fe2__1,0.5182576112,-0.27282969900000004,0.42428156100000003,0.1582958355,0.22929593850000002
fur__delfur_fe2__2,0.4567910088,-0.26540585,0.25343734900000003,0.09519432950000001,0.3102063565
acid__wt_ph5__1,0.40158999830000003,-0.524846931,0.18158359500000001,0.1518490055,0.7226422635
acid__wt_ph5__2,0.2156705558,-0.539491976,0.43325753600000005,0.22540910150000001,0.6039874685000001
acid__delgadx_ph5__2,0.8308608137,-0.480809823,0.231207025,0.2189185305,0.7064404205
acid__delgadw_ph5__1,-0.2153059538,-0.5694477410000001,0.30008959300000004,0.1845077045,0.6671839155
acid__delgadw_ph5__2,0.542432747,-0.545782447,0.211467661,0.1457626175,0.6889960855
acid__delgade_ph5__1,0.3903665351,-0.49659595500000003,0.057755414000000005,0.16061627050000002,0.4548568885
acid__delgade_ph5__2,1.0040407852,-0.5235996460000001,0.24055857300000003,0.23216701250000002,0.44526442450000003
oxidative__wt_pq__1,0.2572668319,-0.277983604,-0.377994993,0.4468107435,1.1253454755
oxidative__wt_pq__2,-0.6532914568,-0.403604734,-0.644510855,0.3896680745,1.2190429045
oxidative__deloxyr_pq__1,-0.4395445758,-0.117314808,-0.152771718,0.3630092975,1.0256380375
oxidative__deloxyr_pq__2,-0.1833934892,-0.052995724,0.105350893,0.36022816350000003,1.1128686855
oxidative__delsoxr_pq__1,0.24377324590000002,-0.46957113400000006,-0.28128637900000003,0.45338366350000003,0.8344043915
oxidative__delsoxr_pq__2,0.6049386541,-0.475574296,-0.19285264500000002,0.43859741750000003,0.8354505565
oxidative__delsoxs_pq__1,0.7559842017,-0.138763319,-0.5497164090000001,0.6504048325,1.2055026185
oxidative__delsoxs_pq__2,0.7749034004,-0.142115652,-0.49571764700000004,0.6203968145000001,1.1488311055
nac_ntrc__wt_csn__1,0.5190515685,-0.158711963,0.8636447500000001,0.3878049415,-0.0734486025
nac_ntrc__wt_csn__2,0.43470672120000003,-0.20401648900000002,0.601116045,0.38617062950000003,-0.1056086415
nac_ntrc__wt_cytd__1,0.08279818580000001,-0.22330206500000002,0.39684518,0.1780138735,0.0931236545
nac_ntrc__wt_cytd__2,0.0368572792,-0.148782092,0.087736613,0.14013047450000002,0.11562003450000001
nac_ntrc__wt_gln__1,1.2622325543000001,-0.133928986,0.679970803,0.38755840750000004,0.3107882125
nac_ntrc__wt_gln__2,1.1600313597,-0.07252378100000001,0.6376246090000001,0.3112008835,0.4495536755
nac_ntrc__bw_delnac_csn__1,1.3874148212000001,-0.17298681200000002,0.641402696,0.6216542455,0.24024664550000002
nac_ntrc__bw_delnac_csn__2,2.1954195554,-0.207335707,1.430925339,0.8497727805,0.1500497735
nac_ntrc__bw_delnac_cytd__1,0.1425614437,-0.39908493100000003,0.584625885,0.1636119455,0.4465692275
nac_ntrc__bw_delnac_cytd__2,-0.0133620892,-0.458070531,0.450532038,0.2066971445,0.46664448950000004
nac_ntrc__bw_delnac_gln__1,0.6356679192,-0.387752121,0.37048335200000004,0.3080251985,0.6344954095
nac_ntrc__bw_delnac_gln__2,0.5492248482000001,-0.318289392,0.45937004400000003,0.2967956055,0.6517965395
nac_ntrc__bw_delnac_nh4__1,2.4282692686000003,-0.40746298400000003,-0.11803793200000001,-0.2040379745,0.0492521515
nac_ntrc__bw_delnac_nh4__2,1.9435022504,-0.431925496,0.33469746300000003,-0.2513449025,0.0915861905
misc__wt_no_te__1,0.08423389740000001,-0.574722853,0.35784344100000004,0.4210455765,0.8055963485000001
misc__wt_no_te__2,0.47266877430000004,-0.434576408,0.288931739,0.3409092855,0.7341074955
misc__bw_delcbl__1,0.9232022618,-0.544797561,0.681185239,0.26062700850000003,0.0352814555
misc__bw_delcbl__2,0.891375243,-0.510121476,0.646940672,0.3284104245,0.0774423845
misc__bw_delfabr__1,2.6171093553,-0.54688357,0.62387988,0.12483548650000001,-0.1645777105
misc__bw_delfabr__2,2.3201915119,-0.5969020620000001,0.622078298,0.1031144385,-0.3014689525
misc__bw_delfadr__1,1.8778366245,-0.631839469,0.30891096700000004,0.2262561375,0.022761246500000002
misc__bw_delfadr__2,1.8352714381,-0.5991148660000001,0.548508003,0.2539545305,0.0806304085
misc__nitr_031__1,2.1802758705,-0.44621574300000005,-0.032134578000000004,0.3646965855,0.3691834525
omics__wt_glu__1,3.6116161974,0.683629718,1.626747061,0.2962516995,0.4817487815
omics__wt_glu__2,3.65883921,0.7885854680000001,1.556823172,0.4666522205,0.39338119250000003
omics__wt_gly__1,3.9310689488,0.206760041,0.8767454440000001,0.08866842550000001,-0.050986039500000004
omics__wt_gly__2,3.8581158813,0.183314323,0.7515944880000001,0.0568323675,-0.0231099835
