,-0.147121737975,-0.114428018425,-0.081734298875,-0.049040579325,-0.016346859775,0.016346859775,0.049040579325,0.081734298875,0.114428018425,0.147121737975,0.179815457525,0.212509177075,0.245202896625,0.277896616175,0.310590335725,0.343284055275,0.375977774825,0.408671494375,0.441365213925,0.474058933475
thresh,-0.16346859775,0.16346859775,8,,,,,,,,,,,,,,,,,
unreg,0,0,0,9,1971,1782,10,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr,0,0,0,1,101,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN,0,0,0,0,50,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NarL and Fnr,0,0,0,2,40,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and RpoN,0,0,0,0,12,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NarL, Fnr, and RpoN",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NarL, NikR, Fnr, and RpoN",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
NarL_genes,[],[],[],[],"['torC' 'hybO' 'hybD' 'hybE' 'hybG' 'hybA' 'torD' 'yeaR' 'hybC' 'hybB'
 'hyaF' 'torA' 'yoaG' 'ogt']",['hybF' 'hyaD' 'hyaC' 'ydeP' 'hyaE' 'hyaB' 'hyaA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
