,A,PhoP
SRX5694376,-4.3107211234000005,-0.46733333850000003
SRX5694377,3.4382275066,-1.6612650122
SRX5694378,-3.4154273789,-0.9748160455
SRX5694379,-5.6872580454,-1.3677025804
SRX5694380,-2.2337608582,-0.3978349577
SRX5694381,4.8690730963,1.6257822894
SRX5694382,-1.6750150511,0.4115879115
SRX5694383,-4.3793079842000004,-0.2100413891
SRX5694384,-2.5394064008,0.18387228090000002
SRX5694385,4.0718937683,2.429084593
SRX5694386,9.8210170479,0.1061708216
SRX5694387,-3.8096158508,-0.44580673870000004
SRX5694388,8.1268688584,0.8419413773000001
SRX5694389,-5.620234199,-0.6864559747
SRX5694390,-4.0037356403,0.14915362340000002
SRX5694391,2.0488666192,1.5628847364
SRX5694392,-3.7041073765,0.1556049787
SRX5694393,-1.9162776555,0.35358711530000003
SRX5694394,-1.3703023295,0.21210135630000002
SRX5694395,-3.9132847898,0.314055855
SRX5694396,4.3909573114,-0.0530504916
SRX5694397,-0.6268503933,0.052792132000000005
SRX5694398,-0.4762750207,0.0130835696
SRX5694399,-3.379389184,0.479698343
SRX5694400,-1.5916389975,-0.41256513580000004
SRX5694401,-0.9670845898,1.0113313489
SRX5694402,10.173953726,0.1791802555
SRX5694403,2.7057544941,-0.1439274418
SRX5694404,-1.7961175156,0.1599353077
SRX5694405,-2.6912288244,1.1010954678
SRX5694406,0.0006987493,0.0011172787
SRX5694407,-2.3411277311,-0.4024597641
SRX5694408,-2.4468676002,-0.057594493600000005
SRX5694409,5.6119706022999996,0.3115937045
SRX5694410,-2.494225855,-0.6422853426
SRX5694411,-0.7501264212000001,-0.2429797692
SRX5694412,-0.044808296500000004,0.5729732376000001
SRX5694413,-5.0607399421,-0.5704614135
SRX5694414,4.9648766957,1.8092696807
SRX5694415,-2.5258581939,0.45575230040000003
SRX5694416,-0.1843974844,0.11637930490000001
SRX5694417,-2.2093772134,0.3709836218
SRX5694418,5.0679985534,-0.44491923240000003
SRX5694419,3.9440421919,-0.2488005661
SRX5694420,-1.2990720641,-0.0027519062
SRX5694421,0.5998820282,-0.058299319100000004
SRX5694422,3.435785503,1.5530572077
SRX5694423,-1.8286691801,-1.0413391495
SRX5694424,2.5066284605,-0.0340136517
SRX5694425,-2.0129935784,0.0827766734
SRX5694426,-2.535548373,-0.1057764818
