,A,PurR
R2,,0.22425768458401563
xmin,,-8.216346238
xmid,,-3.6353898367561754
xmax,,0.333963646
ystart,,-16.328539239148522
yend,,-5.226656993543982
control__wt_glc__1,0.0224126821,-0.0016611450000000002
control__wt_glc__2,-0.0224126821,0.0016611450000000002
fur__wt_dpd__1,-12.7976472199,-0.615103976
fur__wt_dpd__2,-15.4154168156,-0.8196669910000001
fur__wt_fe__1,1.0345153856,-0.404682286
fur__wt_fe__2,0.7333110919,-0.49290924100000005
fur__delfur_dpd__1,-8.6563970922,-0.57490226
fur__delfur_dpd__2,-8.1893425244,-0.564463424
fur__delfur_fe2__1,-0.8959187757,-0.423193407
fur__delfur_fe2__2,-0.8904906024,-0.498130047
acid__wt_ph5__1,-1.2907421163000001,-0.371540931
acid__wt_ph5__2,-1.296760572,-0.474445172
acid__delgadx_ph5__2,-1.5902557895,-0.5677022890000001
acid__delgadw_ph5__1,-1.2309901859,-0.572783904
acid__delgadw_ph5__2,-1.1022022072,-0.66323802
acid__delgade_ph5__1,-1.1992395228000001,-0.436767136
acid__delgade_ph5__2,-0.9519049517,-0.48018471
oxidative__wt_pq__1,-14.9602262472,-1.4069466990000001
oxidative__wt_pq__2,-14.7982363104,-1.392063262
oxidative__deloxyr_pq__1,-12.632711176499999,-1.069125009
oxidative__deloxyr_pq__2,-12.530641702,-0.994460344
oxidative__delsoxr_pq__1,-13.1125089447,-1.147643362
oxidative__delsoxr_pq__2,-13.0263116231,-1.055476385
oxidative__delsoxs_pq__1,-16.0309434971,-1.815653138
oxidative__delsoxs_pq__2,-16.0062747901,-1.846693819
nac_ntrc__wt_csn__1,-14.4060704966,-0.40493591300000004
nac_ntrc__wt_csn__2,-14.5891204863,-0.37060674800000004
nac_ntrc__wt_cytd__1,-14.6778871659,-0.312113808
nac_ntrc__wt_cytd__2,-14.5996751554,-0.35052336900000003
nac_ntrc__wt_gln__1,-12.262014626100001,-0.47223430800000005
