,proS
Cr_1,0.0017680332735698118
Cr_2,-0.0017271542049022055
Cr_3,0.005474153676030865
Cr_4,0.015022686252045604
Cr_5,0.025845433003225997
Cr_6,0.03345384989096998
Fe_1,-0.018672427937593116
Fe_2,-0.028276462459040738
Fe_3,-0.032204598547524825
Fe_4,-0.048306236743526375
Fe_5,-0.05807951807312613
Fe_6,-0.0685517712919608
Cd_1,0.04348250350647853
Cd_2,0.08521897581116095
Cd_3,0.14123075421122627
Cd_4,0.18420363767835726
Cd_5,0.2477638217296805
Cd_6,0.3177215241042322
Zn_1,-0.009364995197666363
Zn_2,-0.009404018765388496
Zn_3,-0.009982337209574
Zn_4,-0.011114700855968506
Zn_5,-0.018157953810582404
Zn_6,-0.03179175430693988
Cu_1,0.0032243372914566586
Cu_2,0.01090776260636353
Cu_3,0.016210314108834806
Cu_4,0.02235757255150193
Cu_5,0.024697184969716558
Cu_6,0.03298414167172517
Pb_1,-0.0043104571863609616
Pb_2,-0.008071263935074001
Pb_3,-0.011217993038979223
Pb_4,-0.012126508974641906
Pb_5,-0.014293762891637422
Pb_6,-0.019009904945971837
