,hycB
Cr_1,0.0036566548379195593
Cr_2,0.007464428748635337
Cr_3,0.01230371033437708
Cr_4,0.020247999914607056
Cr_5,0.028766569472940862
Cr_6,0.03387851616589073
Fe_1,-0.008216613833024288
Fe_2,-0.022871372165024988
Fe_3,-0.026663395357721564
Fe_4,-0.032722936077937456
Fe_5,-0.042905329496433005
Fe_6,-0.056430186476236974
Cd_1,0.007661853134927175
Cd_2,0.002941488486705869
Cd_3,-0.0013340271990002926
Cd_4,-0.005542429361646532
Cd_5,-0.0014915031130131131
Cd_6,0.002957828381186652
Zn_1,-0.00850363976149266
Zn_2,-0.009720524401699468
Zn_3,-0.011449622024501805
Zn_4,-0.010432180221942552
Zn_5,-0.005254486661041749
Zn_6,0.0018566265675984532
Cu_1,0.004015106320088904
Cu_2,0.004198086989538437
Cu_3,0.0063976319233573576
Cu_4,0.015264417421201413
Cu_5,0.023320224164412432
Cu_6,0.02776907818421012
Pb_1,-0.004871845937296819
Pb_2,-0.0013193196833111444
Pb_3,-0.0017772072856430843
Pb_4,-0.006014824486937602
Pb_5,-0.008411886803971617
Pb_6,-0.009369320356249456
