,ydeQ
Cr_1,0.0004866399582139878
Cr_2,0.0019460541306378358
Cr_3,0.004141450903665824
Cr_4,0.0034507845434957845
Cr_5,0.0092759944196322
Cr_6,0.019195830232899426
Fe_1,-0.019584291313512626
Fe_2,-0.05498147138341721
Fe_3,-0.06987059350991523
Fe_4,-0.08084595682609225
Fe_5,-0.07754132339534704
Fe_6,-0.06869204723920128
Cd_1,0.004602259522675125
Cd_2,0.0097877666705591
Cd_3,0.015577844181176527
Cd_4,0.0158115525417483
Cd_5,0.009532748135956757
Cd_6,0.00998150125562442
Zn_1,-0.02270887615323503
Zn_2,-0.07248843193265292
Zn_3,-0.11321638317277498
Zn_4,-0.16045706934451667
Zn_5,-0.1890450466681617
Zn_6,-0.03258683561926012
Cu_1,0.001409041255545548
Cu_2,0.012079121347731377
Cu_3,0.030899734941111014
Cu_4,0.051939015047706816
Cu_5,0.06934721492611756
Cu_6,0.08351352996393632
Pb_1,0.0002725355266550417
Pb_2,0.0032020122863446318
Pb_3,0.006831655919377229
Pb_4,0.010906690613310321
Pb_5,0.016441175715295173
Pb_6,0.02519986475007812
