,-0.5476429696487528,-0.46339020508740625,-0.3791374405260597,-0.2948846759647131,-0.21063191140336657,-0.12637914684202,-0.04212638228067345,0.042126382280673114,0.12637914684201967,0.21063191140336623,0.2948846759647128,0.37913744052605935,0.4633902050874059,0.5476429696487524,0.631895734210099,0.7161484987714457,0.8004012633327922,0.8846540278941386,0.9689067924554853,1.053159557016832
thresh,-0.5897693519294261,0.5897693519294261,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,0,1025,778,0,1,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['yncD'],[]
