,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,-0.011386219011619687,,1.0,0.0,-0.011386219011619687
1,Cr__2,-0.017029228974133732,,1.0,1.0,-0.017029228974133732
2,Cr__3,0.023134236596524714,,1.0,2.0,0.023134236596524714
3,Cr__4,0.032788573913276185,,1.0,3.0,0.032788573913276185
4,Cr__5,0.06076660785824061,,1.0,4.0,0.06076660785824061
5,Cr__6,0.09708969026803972,,1.0,5.0,0.09708969026803972
6,Fe__1,0.12535181149840355,,1.0,6.0,0.12535181149840355
7,Fe__2,0.20671334698796276,,1.0,7.0,0.20671334698796276
8,Fe__3,0.6463425081968307,,1.0,8.0,0.6463425081968307
9,Fe__4,5.685045523643494,,1.0,9.0,5.685045523643494
10,Fe__5,0.186834746748209,,1.0,10.0,0.186834746748209
11,Fe__6,0.22094303920865055,,1.0,11.0,0.22094303920865055
12,Cd__1,0.07835980370640755,,1.0,12.0,0.07835980370640755
13,Cd__2,0.25350518584251397,,1.0,13.0,0.25350518584251397
14,Cd__3,0.20619430050253867,,1.0,14.0,0.20619430050253867
15,Cd__4,0.3519709768891335,,1.0,15.0,0.3519709768891335
16,Cd__5,0.4566664943099022,,1.0,16.0,0.4566664943099022
17,Cd__6,0.5466905200481414,,1.0,17.0,0.5466905200481414
18,Zn__1,0.036483140811324116,,1.0,18.0,0.036483140811324116
19,Zn__2,0.023077923376113176,,1.0,19.0,0.023077923376113176
20,Zn__3,0.01267854736186564,,1.0,20.0,0.01267854736186564
21,Zn__4,0.08806671664118766,,1.0,21.0,0.08806671664118766
22,Zn__5,0.05052258294075728,,1.0,22.0,0.05052258294075728
23,Zn__6,0.07404484748840331,,1.0,23.0,0.07404484748840331
24,Cu__1,-0.01323462220840156,,1.0,24.0,-0.01323462220840156
25,Cu__2,-0.013330548014491796,,1.0,25.0,-0.013330548014491796
26,Cu__3,-0.0100006649736315,,1.0,26.0,-0.0100006649736315
27,Cu__4,-0.033782871402800084,,1.0,27.0,-0.033782871402800084
28,Cu__5,-0.0485271842032671,,1.0,28.0,-0.0485271842032671
29,Cu__6,-0.05103699944913388,,1.0,29.0,-0.05103699944913388
30,Pb__1,0.022253471463918685,,1.0,30.0,0.022253471463918685
31,Pb__2,-0.016555291954427957,,1.0,31.0,-0.016555291954427957
32,Pb__3,-0.030652538277208805,,1.0,32.0,-0.030652538277208805
33,Pb__4,-0.040465742982923984,,1.0,33.0,-0.040465742982923984
34,Pb__5,-0.03926871474832296,,1.0,34.0,-0.03926871474832296
35,Pb__6,-0.04982050858438015,,1.0,35.0,-0.04982050858438015
