,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A
0,LB__LBexp,10.765585493033333,0.9720655042242204,3.0,0.0,9.664262679,1.0,11.128557292,2.0,11.5039365081,,,,,,,,,,
1,LB__LBtran,15.382070138833333,5.537072260083364,3.0,3.0,9.5686615881,4.0,15.983914336,5.0,20.5936344924,,,,,,,,,,
2,LB__LBstat,7.038604052766666,0.6994691701192521,3.0,6.0,7.545088084,7.0,6.2405110809,8.0,7.3302129934,,,,,,,,,,
3,LB__LBGexp,5.877596827466667,1.4640452342662678,3.0,9.0,4.3199251658,10.0,7.2253550553,11.0,6.0875102613,,,,,,,,,,
4,LB__LBGtran,18.280756282299997,1.2255899652748057,2.0,12.0,19.1473792577,13.0,17.4141333069,,,,,,,,,,,,
5,LB__LBGstat,-1.4036329893666668,8.592786872915623,3.0,14.0,-7.5713421057,15.0,-5.050715174,16.0,8.4111583116,,,,,,,,,,
6,Life Cycle__S0,1.0845465702,1.5448310328363317,3.0,17.0,-0.5276210099,18.0,1.2294271462,19.0,2.5518335743,,,,,,,,,,
7,Life Cycle__S1,0.7009429210999999,0.7028373952522223,3.0,20.0,-0.099616141,21.0,1.216588371,22.0,0.9858565333,,,,,,,,,,
8,Life Cycle__S2,-2.2441293709333334,3.2313530399432824,3.0,23.0,-5.5264483128,24.0,-2.1396641577,25.0,0.9337243577000001,,,,,,,,,,
9,Life Cycle__S3,-6.93603480875,0.39703659690393184,2.0,26.0,-6.6552875387,27.0,-7.2167820788,,,,,,,,,,,,
10,Life Cycle__S4,-3.971382866533333,2.5588011743678076,3.0,28.0,-6.922183337,29.0,-2.365422731,30.0,-2.6265425316,,,,,,,,,,
11,Life Cycle__S5,-7.281169567233333,1.1837029532471273,3.0,31.0,-7.9731777209,32.0,-5.9143833305,33.0,-7.9559476503,,,,,,,,,,
