,-0.11999813778947367,-0.10666501136842105,-0.09333188494736842,-0.0799987585263158,-0.06666563210526318,-0.05333250568421055,-0.03999937926315793,-0.026666252842105304,-0.01333312642105268,-5.551115123125783e-17,0.013333126421052569,0.026666252842105206,0.03999937926315782,0.05333250568421043,0.06666563210526306,0.0799987585263157,0.09333188494736831,0.10666501136842092,0.11999813778947356,0.1333312642105262
thresh,-0.126664701,0.126664701,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,1,5,23,207,1317,2982,979,245,80,24,10,2,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
