,ygdI
Cr_1,0.006094260504681677
Cr_2,0.008394702290183123
Cr_3,0.006792266675772278
Cr_4,0.005112607003687925
Cr_5,-0.0011186725659513251
Cr_6,-0.0008822911687258662
Fe_1,-0.0028863787107786037
Fe_2,-0.018062696487951044
Fe_3,-0.041304050258433325
Fe_4,-0.07229969200133766
Fe_5,-0.09689644350756944
Fe_6,-0.12311636222287935
Cd_1,0.001307113292501915
Cd_2,0.0008200815578562018
Cd_3,0.0013119723661787752
Cd_4,0.0018364978722686125
Cd_5,-0.0064419615795353385
Cd_6,-0.0070451523971292295
Zn_1,-0.005480078075667439
Zn_2,-0.018205943018413398
Zn_3,-0.027275330210404482
Zn_4,-0.035576008093850135
Zn_5,-0.04345763434040571
Zn_6,-0.047271996258169885
Cu_1,0.011192123510489276
Cu_2,0.019891251856320947
Cu_3,0.026786165366422338
Cu_4,0.02856488954065488
Cu_5,0.024094039199301327
Cu_6,0.022536540724171168
Pb_1,0.008034140454615216
Pb_2,0.011769891933108331
Pb_3,0.017611807318684333
Pb_4,0.01921537923000921
Pb_5,0.019187107631723682
Pb_6,0.028532068683580044
