,yeaL
Cr_1,0.002343319133615038
Cr_2,0.0018510618741739368
Cr_3,0.0031222627235173266
Cr_4,0.006234930315981014
Cr_5,0.006555055865120626
Cr_6,0.01092696897531788
Fe_1,-0.009614011309127752
Fe_2,-0.02354779820653339
Fe_3,-0.03390690532202744
Fe_4,-0.04568860030841889
Fe_5,-0.047140058926527235
Fe_6,-0.04311279458662885
Cd_1,0.005914557739838029
Cd_2,0.00916791952857634
Cd_3,0.013223396939802814
Cd_4,0.019010928191662654
Cd_5,0.016684346060381695
Cd_6,0.022712820126207463
Zn_1,-0.00364743764657089
Zn_2,-0.004675556576996813
Zn_3,0.0021804824121814505
Zn_4,0.013440146274856029
Zn_5,0.0326798607135985
Zn_6,0.05345793184269378
Cu_1,0.005111920588181439
Cu_2,0.01334060332400133
Cu_3,0.018177230039972788
Cu_4,0.02168532241987824
Cu_5,0.027972491415126758
Cu_6,0.035497266695003665
Pb_1,0.003826851662288357
Pb_2,0.00945425943928486
Pb_3,0.016865022907992112
Pb_4,0.020944133882347483
Pb_5,0.02757961232243081
Pb_6,0.042488279799969934
