,rhsA
Cr_1,-0.007137474207285034
Cr_2,-0.014172128472935941
Cr_3,-0.014500467565717972
Cr_4,-0.0006127436836239336
Cr_5,0.010542175125509071
Cr_6,0.012387946431617856
Fe_1,-0.04902509683828652
Fe_2,-0.1072424502573719
Fe_3,-0.15564157463441494
Fe_4,-0.2078559529894778
Fe_5,-0.2779849212912208
Fe_6,-0.32413935157036305
Cd_1,0.007496351669819522
Cd_2,0.013716916795536148
Cd_3,0.021337298390959842
Cd_4,0.022878059980486302
Cd_5,0.017779614388950333
Cd_6,0.024774499162054764
Zn_1,-0.011911114264028895
Zn_2,-0.01047051266951842
Zn_3,0.00981394595015748
Zn_4,0.02915359418991853
Zn_5,0.05277957530831781
Zn_6,0.054534759369788736
Cu_1,0.0018994611646418727
Cu_2,0.008473507748159801
Cu_3,0.01340536991799878
Cu_4,0.01847340825384135
Cu_5,0.015115603735080212
Cu_6,0.02107382335392856
Pb_1,0.0164793240356422
Pb_2,0.011916122782327204
Pb_3,0.02972052194355655
Pb_4,0.055313652205367374
Pb_5,0.06974866303870181
Pb_6,0.08935603669482367
