gene_id,USA300HOU_RS07635
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,Function unknown
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN003957000"">AureoWiki</a>"
