,mutT
Cr_1,0.005865121228397003
Cr_2,0.012183519559055877
Cr_3,0.015200854081725022
Cr_4,0.02525334902547248
Cr_5,0.019312400277019928
Cr_6,0.020164288527531073
Fe_1,-0.017219842580780045
Fe_2,-0.030123515593316087
Fe_3,-0.02834017018674298
Fe_4,-0.03192385896850775
Fe_5,-0.02955000222438109
Fe_6,-0.02210684496922088
Cd_1,-0.01827166041183912
Cd_2,-0.013457479861027816
Cd_3,0.010741835809608666
Cd_4,0.004099256698884335
Cd_5,0.008906655402941019
Cd_6,0.02294704954723517
Zn_1,-0.014708536460411363
Zn_2,-0.023486662521972672
Zn_3,-0.02144673719131088
Zn_4,-0.016037578806619525
Zn_5,-0.004876346697161526
Zn_6,0.007343809535900022
Cu_1,0.002513665449726938
Cu_2,-0.0038362167087030437
Cu_3,0.0008837342549657428
Cu_4,0.010166553682091434
Cu_5,0.015531901597613085
Cu_6,0.02108547248808616
Pb_1,0.04371047359010035
Pb_2,0.06794666525983015
Pb_3,0.1006786915101831
Pb_4,0.106068056278853
Pb_5,0.09765952774680932
Pb_6,0.10821478906792407
