,A,YonO
R2,,0.721842186506956
xmin,,-5.825792816827482
xmid,,-4.747652682425347
xmax,,5.3067394571075885
ystart,,-31.171702813979998
yend,,32.827853192224
SRX8138083,0.8581987061897014,0.5448348569227872
SRX8138084,-0.6308725944378218,-0.3879491123077188
SRX8138085,-0.2273261117518997,-0.156885744615068
SRX8138086,-0.5793364969315891,-0.2369730177839211
SRX8138087,-1.050415361048192,0.018658971153157292
SRX8138088,-0.1986754284747424,-0.4396665346802373
ERX4111143,-1.529221275614614,-0.09298420069390056
ERX4111144,-2.9368684752177088,-0.32754947988686656
ERX4111145,-0.5126772122449161,-0.4365631939557155
ERX4111146,-2.944467009234608,-0.5753288410766799
ERX4111148,-0.4730351357539903,-0.06115836484236814
ERX4111149,0.3783394514151853,-0.021501237681089247
ERX4111150,2.269417802646048,0.278293579085922
ERX4111151,1.5292212756146086,0.0929842006939008
ERX4111152,2.4161835403262266,0.2005922219747167
ERX4111153,4.404154642638017,0.3921576442810393
ERX4111154,2.253345405753456,0.13408328829031624
ERX4111156,-2.7905980917070945,-0.37515458305930616
ERX4111157,-2.0828839015625538,-0.2673705520602767
ERX4111158,1.0099033547630545,-0.14932950470491724
SRX5577041,-0.7363453405476135,-0.08736328546135219
SRX5577042,0.832638210043868,-0.0304641972626416
SRX5577043,0.2819138321968085,0.3177040778837141
SRX5577044,-0.3782067016930943,-0.1998765951597201
SRX5577045,-3.4803547533801584,-0.12387404091369647
SRX5577046,-3.625954054013629,-0.3496114483793993
SRX5577047,-3.849951925286916,-0.1830600120548853
SRX5577048,-4.509930746718795,-0.24058742082841844
SRX5577049,-2.4176382692676865,0.0836052823111677
SRX5577050,-5.182867753990847,-0.5194844041948699
SRX5577051,0.9818627406136649,1.066043607866078
SRX5577052,1.6474215292281966,1.4522007459135735
SRX5577053,5.504351824433512,2.4679468901356616
SRX5577054,-2.491119599371201,-0.004140356006147704
SRX5577055,7.304973851810981,2.9354291345804056
SRX5577056,-1.4205176669838109,0.4324247160631507
SRX5577057,1.3901338537719123,1.2134978956171687
SRX5577058,-2.6262777713888585,-0.09131324092705673
SRX5577059,-0.7921929947897719,0.2134702407047908
SRX5577060,-1.9225328104627448,0.052291359507978814
SRX5577061,9.692188465378717,3.801476400321621
SRX5577062,-1.0530703426511352,0.30262968135016344
SRX5577063,-0.6606144750187397,0.4766981573896243
SRX5577064,5.883287650062584,2.3769111707339707
SRX5577065,-1.1815503578372804,0.4294449743897904
SRX5577066,5.414470541907054,2.4858046415823303
SRX5577067,9.145848941668577,3.5623288376266204
SRX5577068,5.1621466497562984,2.2536186967298844
SRX533166,-0.95354931217163,-0.20008202120631768
SRX533171,0.9535493121716262,0.20008202120631768
SRX533786,2.5374797584019757,0.13928753409285055
SRX533787,5.04629188113408,0.013184916192631624
SRX533789,0.1429376589940178,0.4693218387861595
SRX533791,0.5439393941940565,1.0805346430988902
SRX533792,0.9390113233286606,0.7078594633364972
SRX533793,3.277475097601378,0.25679477183259114
SRX533794,0.5426267624916931,-0.1544944578177163
SRX533795,0.08684825444074144,0.5716867512654629
SRX4703435,1.3117650086845496,0.1548193385945007
SRX4703436,-0.9023503684968206,0.01217680429018353
SRX4703437,-0.40941464018772855,-0.1669961428846849
SRX4703438,-2.123022571090456,0.4778524870321972
SRX4703439,1.7098427593665628,0.9126885868261828
SRX4703440,2.137220335827568,1.0317812760023704
SRX6902408,-1.555579052945478,-0.12344171780711788
SRX6902409,-0.05293532935706583,0.3437437595977575
SRX6902410,-1.0947018731359195,-0.13087305741590227
SRX6902411,1.77435852781828,0.4881008612408455
SRX6902412,2.755480336711208,0.7280463867550195
SRX6902413,2.100805868934267,0.5973577287123821
SRX6902414,-0.05960717076573669,0.06837964192746515
SRX6902415,0.059607170765758076,-0.06837964192746537
SRX5278698,0.02047678939673922,0.43255775966505705
SRX5278699,-1.827771206403096,-0.43266766997639694
SRX5278700,1.8072944170063865,0.00010991031134022222
SRX5278701,-5.286517363200916,0.15657656620272276
SRX5278702,-5.134607042519296,-0.30691210924164913
SRX5278703,-6.585872070583871,-0.18641567549063565
SRX5278704,6.475995789335981,3.7032040128365273
SRX5278705,3.7073381995372463,3.425426368833677
SRX5278707,-5.005643788051412,0.23102448066941306
SRX5278708,-4.611996601113863,0.6173566111666297
SRX5278709,-6.8765743711995,0.5174066977814503
SRX5278710,-2.280068244447672,-0.10133406816574077
SRX5278711,-0.14023773109017365,0.16022827456796918
SRX5278713,-3.8433119063022887,-0.5136846819151646
SRX5278714,-6.129535393945206,-0.4397604355111898
SRX5278715,-5.379571283275857,-0.3698662512007674
SRX5278716,0.9157623459301298,-0.21020066999850234
SRX5278717,3.602679512913808,1.0153943274284356
SRX5278718,5.2041926850587865,0.6378059942685513
SRX5278719,-6.491880830972791,-0.0820327952329788
SRX5278720,-3.8017273610672127,0.8166985776454893
SRX5278721,-7.112420763887412,-0.2007123863774308
SRX1254783,6.712321347795285,0.2373652787401281
SRX1254784,6.854589492599773,0.2765000970377593
SRX1254785,6.363852203054977,0.3251310303626752
SRX1254786,7.185137748356928,0.17374814248481327
SRX1473807,-0.21937272450320036,0.0
SRX1473808,0.4086797690404136,0.0
SRX1473809,-0.18930704453724856,0.0
SRX7520944,-1.444918668339766,0.5019891876153674
SRX7520945,-1.4870779201230024,0.505462224809267
SRX7520946,1.8213710529867584,-0.3292853498271017
SRX7520947,1.1106255354760244,-0.6781660625975324
SRX7520948,-3.628992877771841,-0.7704593517856122
SRX7520949,-3.586792235193069,-0.7689005190547364
SRX7520950,-2.957457187784884,-0.530755101406539
SRX7520951,-3.1666630400797797,-0.4718130237149455
SRX959206,0.3925253318380317,0.2630363644065519
SRX959207,-1.2715774605675259,0.12168249868425185
SRX959208,0.0484783698450481,-0.07955435770092993
SRX959209,-0.5591640177900723,0.33917242878580844
SRX959210,1.47079713044885,0.22005924700843632
SRX959211,1.1622269204805011,0.60092913919859
SRX959212,-0.15138493572641307,-0.06464313356573252
SRX959213,-0.6445179552077953,-0.17998893105937974
SRX959214,0.7862085857062214,0.2298331524601672
SRX959215,-0.8926924004444989,-0.046567238917136634
SRX959216,0.9438732651831124,-0.0533329525155197
SRX959217,-0.041486559510593324,0.11469910359760155
SRX3269802,2.5245470635428315,0.3941588476290217
SRX3269803,-2.5245470635428444,-0.3941588476290221
SRX3269804,2.118895725861512,-0.024236426367735486
SRX3269805,6.434489221824252,0.6730350187071243
SRX3269806,1.1458569041678113,-0.16764327369289145
SRX3269807,13.040995101115199,0.37305972277310573
SRX3269808,11.58143650777206,0.5767270433240888
SRX3269809,14.67354126410492,0.19470499485839188
SRX3269810,7.930485083508737,-0.4110227180525081
SRX3269811,8.736286111146425,-0.5908608133205426
SRX2529102,0.7395442139006997,0.0033295502041281733
SRX2529103,-0.7395442139006886,-0.0033295502041280627
SRX2529104,3.375386257050287,0.7217083165952851
SRX2529105,4.10301201109226,1.3019192775466737
ERX1981712,-5.477666431238204,-0.5687103727143367
ERX1981713,-6.826399926987633,-0.3858728367576839
ERX1981714,-6.328074303376878,-0.265487944636654
ERX1981715,3.5150273748298404,0.043876401972894885
ERX1981716,-0.7424581010091822,0.06782078403897063
ERX1981717,-2.772569273820659,-0.11169718601186562
ERX2274784,-0.8607498679597495,0.4106019116676759
ERX2274785,-1.310171069239443,1.2567329444178923
ERX2274786,7.319333940543122,0.19541066415808075
ERX2274787,-5.986634825187634,-0.6492290336527099
ERX2274788,-6.0817577967834815,-0.1308988005745716
ERX2274789,-5.485863102397393,-0.25041525114218405
ERX2274790,0.3705797683699601,1.9356644427511407
ERX2274791,-0.9186841494423208,0.6946654581541863
ERX2274792,6.115458306626581,1.2997934482064983
ERX2274793,-6.300729994618282,-0.3906685770685379
ERX2274794,-5.628740263979622,0.21296258643793695
ERX2274795,-5.4116481682518085,-0.10501896270177202
ERX2274796,-1.3909438709526458,-0.13744186980174278
ERX2274797,3.540995719884708,0.639671479827426
ERX2274798,-2.150051848932076,-0.5022296100256831
ERX2274799,-4.312330258365751,-0.05968771159008501
ERX2274800,-5.520328663477528,-0.04523697690141237
ERX2274801,-6.42479160735546,-0.1972883013638969
ERX1819430,22.177233631165137,2.4806296254942315
ERX1819431,27.293911355899162,3.4148673300442067
ERX1819432,22.80009444875377,2.450374580201097
ERX1819433,24.22341904990893,3.165076457218692
ERX1819434,-12.351069113310244,-1.7214402617526203
ERX1819435,14.288610638809693,0.45067029862941205
ERX1819436,-11.988349938584046,-1.3945653074265354
ERX1819437,20.095920738023388,0.886208682274193
ERX1819438,-4.2799344139939794,0.918431038433901
ERX1819439,32.48024944619629,2.832388466706353
ERX1819440,-5.484156818339089,1.1819895044092923
ERX1819441,36.68124230829716,3.166366220172117
ERX1819442,16.631003527304227,0.8030092233187189
ERX1819443,32.250374040029065,3.039642312030572
ERX1819444,-9.924329137945572,0.8481025403865892
ERX1819445,34.404851359658785,3.082711569610352
ERX3440914,-0.33218894794893083,-0.10343104707524133
ERX3440915,3.9275569436684084,0.5733158759801726
ERX3440916,1.198375296137172,0.21514878673354754
ERX3440917,2.6683408844908327,0.1480170242915071
ERX3440918,-2.6117483137761446,-0.28462381923699986
ERX3440919,-0.5934354224348857,-0.4008470277695619
ERX3440920,-0.8718326469322073,-0.6078633287896962
ERX3440921,-7.409839015149085,-0.4793854614070554
ERX3440922,-8.705765720074815,-0.18352155215561086
ERX3440923,-9.33632416313547,-0.7406614282024717
ERX3440924,-8.354626299838277,-0.4546843818431445
ERX3440925,1.0213805872280863,-0.0329786732328452
ERX3440926,-8.044611449464913,0.17640756062785745
ERX3440927,-8.324052081704501,-0.4197457498577566
ERX3440928,-7.864142076343822,0.03813668566307515
ERX3440929,-7.77589765955936,0.2635445313001024
ERX3440930,-8.46401980032406,-0.08835610944282446
ERX3440931,-7.9495911200879465,-0.7773279129756527
ERX3440932,-9.06767352544016,-1.0739677754543415
ERX3440933,-7.483681429541206,-0.11769633527297317
ERX3440934,-9.366158187885103,-0.6027525044267261
ERX3440935,-8.704171187853984,-0.6273345118614624
ERX3440936,-0.6891916392791612,0.1364097203080863
ERX3440937,-9.096947729736604,-0.3905975000018189
ERX3440938,-2.7930086150963667,-0.1347888863742417
ERX3440939,-2.584724305088494,-0.7628159372023426
ERX3440940,-0.2098349043804027,-0.4612211933524344
ERX3440941,20.39373190864828,3.315350303001224
ERX3440942,21.70787751732207,3.5245920372591
ERX3440943,21.566284928091534,3.683962863686084
SRX5347612,0.3441479080487422,-0.20054547877912102
SRX5347613,0.5563263627502196,0.0005689170121560004
SRX5347614,-0.9004742707989596,0.19997656176696493
SRX5347615,0.4935855397824305,-0.005220283889429632
SRX5347616,-0.058221162936967226,-0.10356893805853347
SRX5347617,-0.9116645367432966,0.07008248491269636
SRX5347618,-0.7512145232113611,-0.1919847796451888
SRX5347619,-0.7126504981393065,0.06481398883329237
