,-0.07452180685138823,-0.06520658099496471,-0.05589135513854118,-0.046576129282117656,-0.03726090342569413,-0.027945677569270605,-0.01863045171284708,-0.009315225856423553,-2.7755575615628914e-17,0.009315225856423498,0.018630451712847024,0.02794567756927055,0.037260903425694075,0.0465761292821176,0.05589135513854113,0.06520658099496465,0.07452180685138818,0.0838370327078117,0.09315225856423523,0.10246748442065876
thresh,-0.0791794197796,0.0791794197796,1,,,,,,,,,,,,,,,,,
unreg,0,0,4,4,38,93,416,965,1197,633,314,121,72,31,16,12,3,3,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['yidD' 'suhB' 'rph_1'],['rnpA'],[]
