,icd
Cr_1,-0.0031936036277469344
Cr_2,-0.010628225915895
Cr_3,-0.0145569815063767
Cr_4,-0.02110802967087342
Cr_5,-0.028379340392934462
Cr_6,-0.03203354775195877
Fe_1,-0.016139871625227297
Fe_2,-0.03724363044098543
Fe_3,-0.05630759044085045
Fe_4,-0.08776880005987324
Fe_5,-0.11144056096507264
Fe_6,-0.12730066516066374
Cd_1,-0.0037856573332412883
Cd_2,-0.008684354792472758
Cd_3,-0.010642754508058338
Cd_4,-0.007197267760406225
Cd_5,-0.010996812467908259
Cd_6,-0.006833078252534802
Zn_1,0.003995237648730015
Zn_2,0.0036881768990874937
Zn_3,-0.005712848491114458
Zn_4,-0.004650886771970375
Zn_5,-0.003922810952487848
Zn_6,-0.015048392003414391
Cu_1,0.013979469511004105
Cu_2,0.02396170526986353
Cu_3,0.040156204055097226
Cu_4,0.058207077836582084
Cu_5,0.07251917846652374
Cu_6,0.08518807162260518
Pb_1,0.006503580003502215
Pb_2,0.01846180306121907
Pb_3,0.034951268070903464
Pb_4,0.050051479868523055
Pb_5,0.06813864226290868
Pb_6,0.08813630159728175
