,A,PtxS
R2,,0.4937672141725654
xmin,,-3.2392688890000003
xmid,,
xmax,,2.7237445030000007
ystart,,-15.854650126139429
yend,,7.235924154530641
ALE:GalactoseA5:1.0,-17.18811883567413,-1.7509553689999997
ALE:GalactoseA5:2.0,-16.14882251107982,-1.7434342019999995
ALE:GalactoseA6:1.0,-16.5141420341862,-2.4965860689999992
ALE:GalactoseA6:2.0,-15.948119106674872,-2.5670642239999992
ALE:GalactoseA8:1.0,-15.990773442065295,-2.137794603
ALE:GalactoseA8:2.0,-15.72440379041346,-2.2782307779999997
ALE:IL_Control:1.0,0.3774193651033928,-0.271379649
ALE:IL_Control:2.0,-2.9069261533824955,-0.4496807880000002
ALE:IL_Control:3.0,1.796516569375051,0.467819888000001
ALE:IL_Control:4.0,0.7329902182486463,0.2532405490000009
ALE:IL_TEOH_OAc:1.0,-3.586527869075677,0.0076354859999998
ALE:IL_TEOH_OAc:2.0,-4.320111636925024,0.1389226180000005
ALE:IL_TEA_HS:1.0,4.380610631260184,0.8991386089999995
ALE:IL_TEA_HS:2.0,-1.2452693151071677,0.0002363709999997
ALE:IL_Mixed:1.0,-3.6607534032011184,0.233378772
ALE:IL_Mixed:2.0,-4.18604618248548,0.4421660190000001
ALE:IL_PP5350:1.0,-4.247363704072954,-1.5686684789999994
ALE:IL_PP5350:2.0,-4.744938952061423,-1.5760081369999996
ALE:IL_T8:1.0,-3.655872364697864,-0.8485022329999996
ALE:IL_T8:2.0,-2.190706989813106,-0.8172829089999993
ALE:IL_T9:1.0,-9.287626629152392,-2.915762763
ALE:IL_T9:2.0,-10.008100461571647,-2.8545648439999995
ALE:IL_Control2:1.0,-1.5023138670183889,-0.1129235499999996
ALE:IL_Control2:2.0,-1.8556287695267888,-0.0857073369999987
ALE:IL_Glc+Ace:1.0,-5.595974346800039,-0.4424712949999989
ALE:IL_Glc+Ace:2.0,-5.326096321151124,-0.3602677019999998
ALE:XyloseA1:1.0,-2.077967030190763,2.711777723000001
ALE:XyloseA1:2.0,-2.418817496307159,2.7237445030000007
ALE:XyloseA2:1.0,-2.327195294475602,1.5101190229999997
ALE:XyloseA2:2.0,-1.6385602870735068,1.3092871930000012
ALE:XyloseA3:1.0,-2.158158741363694,2.664195663000001
ALE:XyloseA3:2.0,-1.596740504786578,2.676228833
ALE:XyloseA4:1.0,-1.922870997502964,2.672329003
ALE:XyloseA4:2.0,-2.0526960022070524,2.604724743
Aromatic:Coumarate:1.0,-11.756372305236344,-1.185546140333333
Aromatic:Coumarate:2.0,-11.7815024129653,-1.4122152493333324
Aromatic:Coumarate:3.0,-11.096018499359252,-1.1863838723333329
Aromatic:Coumarate+ferulate:1.0,-10.306831152280168,-0.5209952463333325
Aromatic:Coumarate+ferulate:2.0,-10.806502984092155,-0.4448775693333324
Aromatic:Coumarate+ferulate:3.0,-10.941551358703162,-0.5512604343333329
Aromatic:Ferulate:1.0,-10.159110241777134,-0.2604583363333326
Aromatic:Ferulate:2.0,-10.40833917067314,-0.2288251443333324
Aromatic:Ferulate:3.0,-10.423577864645184,-0.4266533503333329
Aromatic:Glucose:1.0,0.7441540626468428,0.0501393956666671
Aromatic:Glucose:2.0,-2.288893932121642,-0.1343415773333323
Aromatic:Glucose:3.0,1.5447398700137092,0.0842021816666678
