,A,PhoB
R2,,0.5619657029252791
xmin,,-5.282633958
xmid,,-3.579598284290715
xmax,,5.022704642000001
ystart,,-7.648697675017907
yend,,10.063834110021023
control__wt_glc__1,-0.0391292083855807,0.02201119900000048
control__wt_glc__2,0.0391292083855926,-0.02201119900000048
fur__wt_dpd__1,-1.5003715635349684,0.4936474440000005
fur__wt_dpd__2,-1.6432984341924906,0.6525144970000003
fur__wt_fe__1,0.4989378522946417,-0.3362459099999997
fur__wt_fe__2,0.9126402523925716,-0.2510419129999999
fur__delfur_dpd__1,-1.885695905989748,0.4860413399999999
fur__delfur_dpd__2,-2.5725715517086485,0.2402880860000005
fur__delfur_fe2__1,0.0593536486061489,0.022271428000000704
fur__delfur_fe2__2,0.1323960340592197,0.08650986500000002
acid__wt_ph5__1,1.0374123068216103,0.28386598700000043
acid__wt_ph5__2,1.3144379781687567,0.4529088480000016
acid__delgadx_ph5__2,0.4025716531940524,0.11188469400000044
acid__delgadw_ph5__1,1.3020329062374796,0.5174948370000001
acid__delgadw_ph5__2,1.074784481143312,0.4606312140000002
acid__delgade_ph5__1,1.459733700029647,0.6411700089999997
acid__delgade_ph5__2,1.659746038775214,0.5688716520000003
oxidative__wt_pq__1,-0.6444199838911497,0.521026505
oxidative__wt_pq__2,-0.6787524391201432,0.8105942769999999
oxidative__deloxyr_pq__1,0.4666063317944279,0.8091225999999994
oxidative__deloxyr_pq__2,0.4125697448930033,0.7159930749999992
oxidative__delsoxr_pq__1,-0.3009056217233642,0.4023314730000003
oxidative__delsoxr_pq__2,-0.6500287343288242,0.5397652470000001
oxidative__delsoxs_pq__1,-1.1870080795622713,0.6787950770000002
oxidative__delsoxs_pq__2,-0.9940943575480002,0.6795322499999994
nac_ntrc__wt_csn__1,0.3967024554492896,0.7058176599999992
nac_ntrc__wt_csn__2,0.2935768030135645,0.7224664449999993
nac_ntrc__wt_cytd__1,-0.1040764962115872,0.2560212420000001
nac_ntrc__wt_cytd__2,0.1606931968910289,0.12034849700000015
nac_ntrc__wt_gln__1,-0.29363967506358,0.5711317399999993
nac_ntrc__wt_gln__2,0.3829000723497004,0.696809096
nac_ntrc__bw_delnac_csn__1,-1.2997315142636183,0.9693647619999995
nac_ntrc__bw_delnac_csn__2,-0.6585056318407274,0.5398511949999998
nac_ntrc__bw_delnac_cytd__1,-0.3039344825571473,0.4247788799999999
nac_ntrc__bw_delnac_cytd__2,-0.2875267806424396,0.1326141019999998
nac_ntrc__bw_delnac_gln__1,-0.9290004930589192,0.22251434699999967
nac_ntrc__bw_delnac_gln__2,-1.237741193766193,0.15583329800000012
nac_ntrc__bw_delnac_nh4__1,0.2659648811393921,-0.16307021099999994
nac_ntrc__bw_delnac_nh4__2,0.4536440722003491,-0.1717170750000001
misc__wt_no_te__1,0.4035794160433877,0.36281584199999983
misc__wt_no_te__2,0.3254451282159888,0.2076790899999992
misc__bw_delcbl__1,0.0995923948508935,-0.05434949699999958
misc__bw_delcbl__2,0.4856168990601513,0.07808028400000032
misc__bw_delfabr__1,0.0235828597391255,-0.03675682499999944
misc__bw_delfabr__2,0.3254788372507369,-0.27888402099999965
misc__bw_delfadr__1,0.8182698557423991,0.05555417500000015
