,A,MalR
R2,,0.0390602062361084
xmin,,-2.1187704817
xmid,,-0.18056968153420014
xmax,,0.9319724167000001
ystart,,-0.23626967963786571
yend,,4.711736445180064
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.601402164,-0.1119301446
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,-0.3483255128,0.3045851032
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,0.9497276769,-0.1926549586
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,4.599860474,-0.1019281726
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,5.1133672284,-0.24427402210000002
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,-1.2518488872,0.8596540768
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,2.0508522596,-0.9346090707
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,2.4985508098,-0.7765892997
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,3.9833549213,-0.2787183326
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,1.2467298812,-0.2897479123
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,2.5998077351999997,-0.10858396740000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-3.8937337109,0.1372524436
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,3.2435332329,0.3011202215
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,0.1580514831,-0.2786507612
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-5.29410438,-0.24183428070000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,0.39924992070000004,-0.0105377101
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-1.781800122,0.0577092648
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-6.7125237213,-0.1398040548
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,6.1035134197,0.6404990176
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,3.5385248904999997,-0.0443410151
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,1.6859179224,-0.0409887563
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,-0.638367038,-0.0099993235
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,-2.9806166197,-0.3529027656
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,-0.5327480259,-0.24875934090000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,3.6775169796,0.2126352379
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,-0.2971974214,-0.0943519906
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,0.15942705910000002,-0.0570898888
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,1.1959276254,0.4943014331
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-1.4230109221,0.0249477401
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,-0.4540981884,0.0491264087
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,-7.49307806,0.1580441027
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,-4.614473761,-0.6206401283
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,-3.6869618495000003,-0.5138083308
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,-4.9841888691000005,-0.6438541736
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,-2.7759068034,-0.1670449813
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,-5.9981589244,-0.3743582673
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,-5.3719044348,-0.3917815201
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,-3.948591137,-0.31384013850000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,-5.4168944144,0.0496397377
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,-5.3364712124,-0.9299331112
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,-6.4086919434,-0.6773011210000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,-6.0066880662,-0.6838526542000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,-5.7005234643,-0.1981663555
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,-5.9779443199,-0.3219760679
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,-4.4269511166,-0.9568179982
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,-5.5392748292,-0.35255739480000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,-5.319373666,-2.1187704817
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,-5.4650900811,-0.4251626804
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,-7.346745849,-0.7461573838000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,-7.6167557155,-0.3592027486
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,-8.3843012688,-1.1165539868
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,0.1758226534,-0.0642492405
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,-0.1338654389,-0.1213254618
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,-0.0419572145,0.1855747023
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,-0.4707383479,0.3398688156
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,-0.3652179794,0.503210672
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,-0.0058290198,0.6110155099
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,-0.8763151746000001,0.49526894920000003
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,-1.5414389629,-0.0937729601
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,-0.0943120492,0.0278196699
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,0.6558538378000001,0.0588326349
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:4.0,0.9798971742,0.007120655300000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:1.0,6.3315739404,0.14137285930000001
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:2.0,5.3077144305,0.2496556044
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:3.0,6.5243517876,0.2631403285
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covR-D53A_late-exponential:4.0,7.1268658565,0.1453066613
S. pyogenes_THY_WT_vs_Del_covR:THY_None_covS-E281A_late-exponential:1.0,3.061161326,-0.0115481839
