,ggt
Cr_1,0.006117597360202105
Cr_2,0.01877129474231466
Cr_3,0.039290252034757334
Cr_4,0.045367031302414464
Cr_5,0.059658901263778714
Cr_6,0.07608879727128523
Fe_1,-0.04164667800306336
Fe_2,-0.11268593575652035
Fe_3,-0.17412053841273425
Fe_4,-0.2355131325570093
Fe_5,-0.27469919135804344
Fe_6,-0.31515731136430325
Cd_1,-0.0010680473910643748
Cd_2,-0.001414702623627687
Cd_3,0.005772477844020516
Cd_4,0.018583731770941664
Cd_5,0.023084651565070013
Cd_6,0.0243470452364125
Zn_1,-0.013815380726217923
Zn_2,-0.034683077613386834
Zn_3,-0.029707846945771093
Zn_4,-0.024334503075360184
Zn_5,-0.0021776788557677754
Zn_6,0.010633646708061995
Cu_1,0.012375508291012569
Cu_2,0.014126958551423412
Cu_3,0.01843086862870448
Cu_4,0.01561318880061797
Cu_5,0.018690726159495564
Cu_6,0.029610461866841
Pb_1,0.009990804882371095
Pb_2,0.021332514655733544
Pb_3,0.031181960468000574
Pb_4,0.04687408964388076
Pb_5,0.06464476382835535
Pb_6,0.0702640330023283
