,yoaH
Cr_1,0.00250239361983785
Cr_2,0.003390643693416221
Cr_3,0.004800300378218635
Cr_4,0.0054167656767989715
Cr_5,0.0065724695663635065
Cr_6,0.004984966595196614
Fe_1,-0.010315345471879737
Fe_2,-0.022739935305926502
Fe_3,-0.032774665568044176
Fe_4,-0.039370717378337465
Fe_5,-0.039920082683349456
Fe_6,-0.0425307553761556
Cd_1,-0.0014319009641726168
Cd_2,-0.0010994067442795306
Cd_3,-0.00025522238055669563
Cd_4,-0.0010331313864614196
Cd_5,-0.00262138204958058
Cd_6,0.002945054721087917
Zn_1,-0.0037330372733826384
Zn_2,0.001670601442069561
Zn_3,0.0157550713739692
Zn_4,0.029518814384153432
Zn_5,0.043687984789833136
Zn_6,0.055048910999975685
Cu_1,0.0015517469774412372
Cu_2,0.00817289461062964
Cu_3,0.010836557483753295
Cu_4,0.011134275313258873
Cu_5,0.017444481111121613
Cu_6,0.017246345926937946
Pb_1,0.003437642152958537
Pb_2,0.008755379081355687
Pb_3,0.01733996211348878
Pb_4,0.028998950116905918
Pb_5,0.035884405918996325
Pb_6,0.04463806523372322
