sample,new_3699152_3701361
LBexp_1,8.1317
LBexp_2,8.6512
LBexp_3,8.105
LBtran_1,8.6518
LBtran_2,8.2984
LBtran_3,8.2443
LBstat_1,9.5927
LBstat_2,9.278
LBstat_3,8.9189
LBGexp_1,7.9615
LBGexp_2,7.468
LBGexp_3,7.78
LBGtran_2,7.7315
LBGtran_3,7.8461
LBGstat_1,7.254
LBGstat_2,7.4634
LBGstat_3,7.901
S0_1,8.3959
S0_2,8.1112
S0_3,8.1078
S1_1,9.5429
S1_2,9.464
S1_3,9.5469
S2_1,9.0643
S2_2,8.3108
S2_3,8.0877
S3_1,8.8126
S3_2,8.7188
S4_1,9.2968
S4_2,8.7499
S4_3,8.2182
S5_1,8.6559
S5_2,8.8119
S5_3,8.9808
S6_1,8.3943
S6_2,7.7781
S6_3,8.5676
S6/t_1,8.7373
S6/t_2,7.6775
S6_4,8.1884
S6_5,8.4164
S6_6,8.359
S7_4,9.1261
S7_5,9.1499
S7_6,9.7166
S8_4,8.9863
S8_5,9.1308
G135_1,8.1718
G135_3,7.6031
G150_1,7.973
G150_2,7.8621
G150_3,8.1789
G180_1,7.6506
G180_2,7.9382
G180_3,7.5915
C30_1,9.2738
C30_2,9.4958
C90_1,9.1954
C90_2,8.1629
BI_1,8.9662
BI_2,8.9512
BC_2,10.2608
BC/t_1,9.6318
BC/t_2,10.6808
BC_1,9.4761
Sw_1,11.3725
Sw_2,11.8343
BT_1,8.326
BT_2,7.9811
B36_1,9.0598
B36_2,8.7088
B60_1,10.1378
B60_2,10.8181
M9exp_1,8.5908
M9exp_2,8.4278
M9exp_3,8.0097
M9tran_1,8.1921
M9tran_2,8.151
M9tran_3,8.4208
M9stat_1,8.4936
M9stat_2,8.7881
M9stat_3,8.5228
M+G_1,9.4213
M+G_2,8.5183
M+G_3,8.3449
Glu_1,9.0697
Glu_2,9.2369
Glu_3,8.8327
Fru_1,8.9653
Fru_2,9.1759
Fru_3,8.5706
Mal_1,7.8795
Mal_2,8.7033
Mal_3,8.9686
G+S_2,8.4233
G+S_3,8.7834
Pyr_1,9.054
Pyr_2,9.0291
Pyr_3,9.0072
Gly_1,8.9843
Gly_2,9.7837
Gly_3,9.2898
Glucon_1,9.018
Glucon_2,9.0074
Glucon_3,8.8242
aero_1,8.8413
aero_2,7.5918
aero_3,7.9285
nit_1,8.6963
nit_2,8.7947
nit_3,8.4993
ferm_1,8.5958
ferm_2,7.9552
ferm_3,9.0979
T-5.40H_1,8.9833
T-4.40H_1,8.8291
T-3.40H_1,8.7777
T-2.40H_1,8.6112
T-1.40H_1,8.6286
T-1.10H_1,8.4635
T-0.40H_1,8.8144
T0.0H_1,8.7309
T0.30H_1,8.5953
T1.0H_1,8.1631
T1.30H_1,8.2422
T2.0H_1,8.5795
T2.30H_1,8.8651
T3.0H_1,8.5839
T3.30H_1,8.9691
T4.0H_1,8.9704
T5.0H_1,8.6617
HPh_1,8.3989
HPh_2,7.9705
HPh_3,8.3566
LPh_1,8.5622
LPh_2,8.6395
LPh_3,8.4409
LPhT_1,9.1158
LPhT_2,9.3868
LPhT_3,9.8504
SMMPr_1,8.2598
SMMPr_2,8.4205
SMMPr_3,8.4561
HiTm_1,8.5227
HiTm_2,7.8091
HiTm_3,8.0483
LoTm_1,9.0895
LoTm_2,10.26
LoTm_3,8.9565
HiOs_1,8.8359
HiOs_2,9.038
HiOs_3,8.9106
BMM_1,8.253
BMM_2,8.3593
BMM_3,8.6488
Heat_1,9.5648
Heat_2,9.2244
Heat_3,9.4367
Cold_1,8.5929
Cold_2,8.2771
Cold_3,8.2039
Etha_1,8.8142
Etha_2,8.7736
Etha_3,8.8131
SMM_1,8.4463
SMM_2,8.3739
SMM_3,8.5638
Salt_1,10.2251
Salt_2,10.5516
Salt_3,10.3935
Mt0_1,8.3021
Mt0_3,8.0169
M0t45_1,8.5827
M0t45_2,8.1792
M0t45_3,8.6815
M0t90_1,8.2119
M0t90_2,9.3873
M0t90_3,8.8778
M40t45_1,8.4029
M40t45_2,9.0082
M40t45_3,9.0766
M40t90_1,8.1375
M40t90_2,9.0209
M40t90_3,9.0008
dia0_1,7.7732
dia0_2,8.1851
dia0_3,7.7283
dia5_1,9.2976
dia5_2,10.8824
dia5_3,10.1087
dia15_1,11.8041
dia15_2,9.915
dia15_3,8.0634
Diami_1,9.7441
Diami_2,9.8184
Diami_3,9.5827
Paraq_1,8.2933
Paraq_2,9.1279
Paraq_3,8.1996
H2O2_1,9.7081
H2O2_2,9.6686
H2O2_3,9.7751
Oxctl_1,8.1036
Oxctl_2,8.3259
Oxctl_3,8.5643
GM-0.1_1,8.5877
GM-0.2_1,8.401
GM+5_1,8.3401
GM+15_1,8.5709
GM+25_1,8.4735
GM+45_1,8.6462
GM+60_1,8.1998
GM+90_1,8.3468
GM+120_1,8.0434
GM+150_1,8.2154
GM-0.1_2,8.9662
GM-0.2_2,8.7323
GM+5_2,8.6953
GM+10_2,8.3694
GM+15_2,8.2327
GM+25_2,8.4477
GM+45_2,7.6965
GM+60_2,7.6554
GM+90_2,8.372
GM+150_2,8.0049
GM-0.1_3,8.9425
GM-0.2_3,8.5755
GM+5_3,8.7152
GM+10_3,7.905
GM+15_3,8.2518
GM+25_3,8.2757
GM+45_3,8.484
GM+60_3,8.1157
GM+90_3,8.0991
GM+120_3,8.5822
GM+150_3,8.1159
MG-0.1_1,8.402000000000001
MG+5_1,8.4847
MG+10_1,8.7874
MG+15_1,8.1439
MG+25_1,8.3685
MG+45_1,8.2376
MG+120_1,8.0479
MG+150_1,7.8907
MG-0.1_2,7.6321
MG-0.2_2,8.103
MG+5_2,8.1556
MG+10_2,8.3758
MG+15_2,8.7256
MG+25_2,8.0706
MG+45_2,7.8089
MG+60_2,8.2057
MG+90_2,7.8215
MG+120_2,8.3828
MG-0.1_3,8.6224
MG-0.2_3,8.2287
MG+5_3,8.3519
MG+10_3,7.8262
MG+15_3,8.4856
MG+25_3,8.2839
MG+45_3,8.5998
MG+60_3,8.497
