,ABUW_1912
SRX3737100,3.6848377509
SRX3737101,3.3988230202
SRX3737103,1.4154189523
SRX3737104,0.3232632089
SRX3737105,-0.1321618292
SRX3737106,0.132398608
SRX3737107,-0.3234999877
SRX3737108,-0.41365797730000003
SRX3737109,-0.8018109263000001
SRX3737110,0.5345174978
SRX3737111,-0.3493623059
Abaum_0017,0.1296530084
Abaum_0018,0.4913534473
Abaum_0019,0.23473910150000002
Abaum_0020,2.195971057
Abaum_0021,0.9238642474000001
Abaum_0022,-0.0571901063
Abaum_0023,-0.1296530084
Abaum_0024,1.7851177115999999
Abaum_0025,1.0685067851
Abaum_0026,-0.13551482
SRX3141471,-0.4233220942
SRX3141472,0.7404564471
SRX3141473,-0.6219105261
SRX3141474,-0.11854592100000001
SRX3141475,0.2904989434
SRX3141476,-0.1431014239
SRX3141477,0.1310124523
SRX3141478,0.9587210391000001
SRX3141479,0.9009761157
SRX8944518,-0.3277475655
SRX8944519,-0.3625199295
SRX8944520,-0.0618467817
SRX8944521,-0.7975456636
SRX8944522,0.3895943472
SRX8944523,0.40536225530000003
SRX5930997,0.2309449832
SRX5930998,-0.3273563027
SRX5930999,0.09641131950000001
SRX5931001,-0.3978433348
SRX5931002,-0.29241954270000003
SRX4488546,1.6984023249
SRX4488547,-0.45964492640000004
SRX4488548,0.32926843710000003
SRX4488549,-1.2387573985
SRX4488550,1.5211000639
SRX4488551,2.200005471
SRX4488552,-0.5310983084
SRX4488553,0.0943253257
SRX4488554,1.9044517905
SRX4488555,0.1993352811
SRX4488556,1.449266458
SRX4488557,0.2020555117
SRX2568047,0.6027043817000001
SRX2568048,0.7021053327
SRX2568049,0.5714073096
SRX2568050,-1.5124878513
SRX2568051,-1.2149329056
SRX2568052,-1.1265695542
SRX2568053,1.4356227042
SRX2568054,-0.5893703085
SRX2568055,0.4976829331
SRX2568056,-0.782456994
SRX2568057,-0.5547155416
SRX2568058,-0.7595695989
SRX2568059,-0.1397190064
SRX2568060,-1.077679853
SRX2568061,-0.0117166657
SRX2568062,-0.0229486138
SRX2568063,-0.25277416880000003
SRX2568064,0.2757227826
Abaum_0001,-0.6681690195000001
Abaum_0002,-0.1657112984
Abaum_0003,-0.20987639530000002
Abaum_0004,-0.7354518972
Abaum_0005,0.0828275067
Abaum_0006,-0.5773615943
Abaum_0007,-0.9482876897
Abaum_0008,-0.6898955294
Abaum_0009,-0.4842055871
Abaum_0010,-0.0308609255
Abaum_0011,-0.0576130038
Abaum_0012,0.0576130038
Abaum_0013,-0.7768213453
Abaum_0014,-0.7909583116000001
Abaum_0015,-0.5085080282000001
Abaum_0016,-0.7998898447
ERX1221046,0.26706316620000004
ERX1221048,-0.0842088295
ERX1221049,-0.1828543367
ERX1221050,-2.014572562
ERX1221052,-0.5278425361
ERX1221053,0.28994452
ABNM035,0.618768818
ABNM036,-0.618768818
ABNM037,-1.337897365
ABNM038,2.005277773
ABNM041,0.004064011
ABNM042,0.24812029
ABNM019,-0.2200555147
ABNM020,0.2200555147
ABNM021,-0.6385436564
ABNM022,-0.1197840976
ABNM023,-0.4745393739
ABNM024,-0.4887961812
ABNM025,-0.7615859341
ABNM026,-0.2222020708
ABNM027,-0.5243047751000001
ABNM028,0.5243047751000001
ABNM029,-0.8883237587
ABNM030,0.5728971642
ABNM031,-0.0206863486
ABNM032,0.7508077816000001
ABNM033,0.5564498238
ABNM034,0.6966340629000001
ABNM001,0.0691348209
ABNM002,-0.0691348209
ABNM003,-1.0044276738
ABNM004,-1.2529308992
ABNM005,-1.9016946156999999
ABNM006,-1.7406560511
ABNM007,-3.1386346992
ABNM008,-2.7475445667000002
ABNM009,-1.3699753001000001
ABNM010,-0.5039889663
ABNM043,-0.793682536
ABNM044,0.793682536
ABNM045,1.638374978
ABNM046,1.346858175
ABNM047,1.6377765
ABNM048,1.693218652
ABNM011,-0.0114588799
ABNM012,0.0114588799
ABNM013,-0.06666537930000001
ABNM014,0.8558814404
ABNM015,0.056949239500000005
ABNM016,0.4940530233
ABNM017,0.8917771994
ABNM018,0.3701519931
