,ygeG
Cr_1,0.007007102600863755
Cr_2,0.00594264622971225
Cr_3,0.012304774278307616
Cr_4,0.0262347259355389
Cr_5,0.02538864346346024
Cr_6,0.02544421089547577
Fe_1,-0.006221463940418381
Fe_2,-0.0215869585772622
Fe_3,-0.028243852032146737
Fe_4,-0.02473680063267468
Fe_5,-0.021911821332255527
Fe_6,-0.012670495576104062
Cd_1,-0.0017975833230439637
Cd_2,0.0013283299125958687
Cd_3,-0.004466366155617199
Cd_4,-0.0007779581077273179
Cd_5,0.007074917438943756
Cd_6,0.012447663939495464
Zn_1,-0.009278803930969231
Zn_2,-0.013727104048026005
Zn_3,-0.0066509735654176816
Zn_4,0.003108107307687295
Zn_5,0.013978637282704159
Zn_6,0.026040637059760768
Cu_1,-0.010926449404923804
Cu_2,-0.02118712613204414
Cu_3,-0.02995406363324688
Cu_4,-0.03626839437894274
Cu_5,-0.048797449842878884
Cu_6,-0.062291588391247
Pb_1,-0.007100880149072975
Pb_2,-0.019338341523862632
Pb_3,-0.007864831166759272
Pb_4,-0.004051832323645377
Pb_5,-0.00890281348826627
Pb_6,-0.006808494439470993
