,eutN
Cr_1,0.0017024532584738398
Cr_2,0.006674188414749186
Cr_3,0.00918825530384476
Cr_4,0.005778025713314426
Cr_5,0.008489178065541699
Cr_6,0.005078509338182097
Fe_1,-0.029790976198108943
Fe_2,-0.06705068050455917
Fe_3,-0.09099523823456412
Fe_4,-0.10055726102712848
Fe_5,-0.1090603965046856
Fe_6,-0.10576772616669017
Cd_1,0.007265107940719612
Cd_2,0.01587118085502253
Cd_3,0.024569348324065862
Cd_4,0.032731625036168915
Cd_5,0.036786179450342286
Cd_6,0.04190841478642208
Zn_1,-0.031003564900048405
Zn_2,-0.060411399484160064
Zn_3,-0.005360826135637871
Zn_4,0.021198405183106502
Zn_5,0.043390513898860256
Zn_6,0.09403850426928556
Cu_1,0.011933543556812684
Cu_2,0.01669879768497292
Cu_3,0.02282605423195028
Cu_4,0.022897833005403028
Cu_5,0.02577592518436989
Cu_6,0.02497403911317631
Pb_1,0.004684554304585603
Pb_2,0.008231614367009706
Pb_3,0.0190140190806552
Pb_4,0.02345549926115973
Pb_5,0.034755568359789296
Pb_6,0.03301209926038153
