,A,LexA
R2,,0.677216050618812
xmin,,-0.5218418209999989
xmid,,0.7497515840672593
xmax,,3.5517633080000017
ystart,,-0.12483451459046613
yend,,15.921046542896189
control__wt_glc__1,-0.1189209492335063,0.05912237400000109
control__wt_glc__2,0.1189209492334867,-0.0591223740000002
fur__wt_dpd__1,1.7582247932829174,-0.07905964599999837
fur__wt_dpd__2,2.173826213974752,-0.2143671609999984
fur__wt_fe__1,0.3396205626725608,-0.029366709999997912
fur__wt_fe__2,0.1611159187122102,-0.14031837699999894
fur__delfur_dpd__1,3.839058517384406,0.08561924600000115
fur__delfur_dpd__2,3.428419935884611,-0.02374144799999911
fur__delfur_fe2__1,5.752139916228884,0.7720563810000005
fur__delfur_fe2__2,5.34917217667862,0.8133784059999999
acid__wt_ph5__1,-0.208705319557211,0.38032570400000143
acid__wt_ph5__2,0.3342656106327022,0.34872575300000097
acid__delgadx_ph5__2,0.001464807187967,0.2932060260000009
acid__delgadw_ph5__1,0.5167238905518898,0.3817989460000009
acid__delgadw_ph5__2,0.5972289379912139,0.4322730250000015
acid__delgade_ph5__1,0.1120107379286186,0.4374163560000008
acid__delgade_ph5__2,0.0497636245099028,0.4046171530000011
oxidative__wt_pq__1,1.4895115268810923,0.4999480319999998
oxidative__wt_pq__2,1.706960529586763,0.5775653350000018
oxidative__deloxyr_pq__1,2.251223057277459,1.0214895150000023
oxidative__deloxyr_pq__2,1.860660607158304,0.9797986340000016
oxidative__delsoxr_pq__1,1.5296920144539548,0.2664233730000012
oxidative__delsoxr_pq__2,1.5534462536037867,0.2505051009999999
oxidative__delsoxs_pq__1,1.7174552567543444,0.6233549290000013
oxidative__delsoxs_pq__2,1.878527231036746,0.7079979380000019
nac_ntrc__wt_csn__1,2.0970889382124698,-0.15483160599999835
nac_ntrc__wt_csn__2,2.272999880831343,-0.03783005599999889
nac_ntrc__wt_cytd__1,0.7291225869807408,-0.0462037930000001
nac_ntrc__wt_cytd__2,0.642480015874825,0.028842067000001137
nac_ntrc__wt_gln__1,0.6127580056895942,0.13863147000000087
nac_ntrc__wt_gln__2,0.8427770948668851,0.13230792100000066
nac_ntrc__bw_delnac_csn__1,4.706842509739193,0.5198424120000009
nac_ntrc__bw_delnac_csn__2,4.973141726404471,0.8859906380000009
nac_ntrc__bw_delnac_cytd__1,0.505691329502922,0.3297317380000013
nac_ntrc__bw_delnac_cytd__2,0.4783795813799581,0.2350818730000013
nac_ntrc__bw_delnac_gln__1,0.0233612810899525,0.3864038610000007
nac_ntrc__bw_delnac_gln__2,0.557509416975942,0.4438790780000009
nac_ntrc__bw_delnac_nh4__1,0.050366992985,0.4662023820000014
nac_ntrc__bw_delnac_nh4__2,-0.6702347902943819,0.3776523919999999
misc__wt_no_te__1,-0.0483752286684376,0.12929870700000112
misc__wt_no_te__2,0.5073082686092529,0.13246473700000114
misc__bw_delcbl__1,-1.853134148422012,-0.028659463000000333
misc__bw_delcbl__2,-0.9035948725194552,0.08888201000000162
misc__bw_delfabr__1,-1.3645440154678457,0.0745364600000018
misc__bw_delfabr__2,-1.1327196573872504,0.030743079000001394
misc__bw_delfadr__1,-0.7443047504928457,0.17042169700000098
misc__bw_delfadr__2,-0.4239772995680769,0.09827706699999972
misc__nitr_031__1,1.1543696132626475,0.2129963159999999
omics__wt_glu__1,2.5587719408498266,-0.2422131399999987
omics__wt_glu__2,2.570722656818909,0.12915168400000088
omics__wt_gly__1,1.8072892984670028,-0.1668278809999988
omics__wt_gly__2,1.3887303972523712,-0.13188009999999914
omics__wt_thr__1,-0.4161149308936547,0.2236830290000027
omics__wt_thr__2,0.2892386278226782,-0.0734866890000001
omics__bw_ac__1,-2.039771204931554,0.22774449699999974
omics__bw_ac__2,-1.7636820045897703,0.2116055440000011
omics__bw_fum__1,-1.8202444596845928,0.5468983250000017
omics__bw_fum__2,-2.443448051222502,0.7256714690000017
omics__bw_glc__1,-0.3793628121397811,0.7457879500000022
omics__bw_glc__2,-0.6655129548739676,0.6861513280000011
omics__bw_pyr__1,0.0199533733796851,0.7319395190000009
omics__bw_pyr__2,-0.1173379176932275,0.8472807950000014
ompr__wt_nacl__1,3.572878646820533,-0.2600872989999994
ompr__wt_nacl__2,3.477962119762121,-0.318730324999998
ompr__bw_delompr_nacl__1,4.656805484033243,-0.2082304629999987
