,pck
Cr_1,0.0031683232927865635
Cr_2,0.005423663399452169
Cr_3,0.014229542668622175
Cr_4,0.01775813809964887
Cr_5,0.0223886911520485
Cr_6,0.02729003340352138
Fe_1,-0.008518079011865276
Fe_2,-0.00016390625775376789
Fe_3,0.012180411668966742
Fe_4,0.016448401677626418
Fe_5,0.014059882082925013
Fe_6,0.013573228299903504
Cd_1,0.04378247202289943
Cd_2,0.09134950504411547
Cd_3,0.14822457999434446
Cd_4,0.20070481282803454
Cd_5,0.2490326827517311
Cd_6,0.31193356681548096
Zn_1,0.0006026028675920554
Zn_2,0.007843376921051862
Zn_3,0.02673854910246369
Zn_4,0.04773406643298077
Zn_5,0.06634178464455417
Zn_6,0.0809775712127955
Cu_1,-0.006517630627506863
Cu_2,-0.011222938847639828
Cu_3,-0.010148107560571731
Cu_4,-0.006398506911791369
Cu_5,-0.0014128809464913196
Cu_6,0.0008877403455055129
Pb_1,0.005905428441886542
Pb_2,0.012012205499212609
Pb_3,0.02425786687788159
Pb_4,0.03769008013603232
Pb_5,0.04785893140307719
Pb_6,0.06050746084162456
