,yneE
Cr_1,-0.0038430750143589524
Cr_2,-0.010615014083210136
Cr_3,-0.010889529714447404
Cr_4,-0.006002940146340694
Cr_5,0.006330479115042479
Cr_6,0.0018620032369539344
Fe_1,-0.034378330197034915
Fe_2,-0.07287159534598996
Fe_3,-0.10185225718461224
Fe_4,-0.11943993606730482
Fe_5,-0.12783874393562142
Fe_6,-0.1295170994862055
Cd_1,0.0057989002993466595
Cd_2,0.015017026553638268
Cd_3,0.026948927844405567
Cd_4,0.03256921770486064
Cd_5,0.03703856950524879
Cd_6,0.04685101628900102
Zn_1,-0.008579223089526434
Zn_2,-0.010786938674062243
Zn_3,-0.005072904796776797
Zn_4,0.009903978504930652
Zn_5,0.024198061557045545
Zn_6,0.029716101416625968
Cu_1,0.015595755926357913
Cu_2,0.029449854826933637
Cu_3,0.043132891836419336
Cu_4,0.05694001923251139
Cu_5,0.07289770793404649
Cu_6,0.09657961620402253
Pb_1,0.000988716798080754
Pb_2,0.0023624454635958244
Pb_3,0.004347655287436881
Pb_4,0.009594704341819695
Pb_5,0.013562594819890729
Pb_6,0.021043294351115897
